#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 none
# number of wavelengths
          38
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      1     0.275692882E+01     0.000000000E+00     0.000000000E+00     0.275766151E+01     0.000000000E+00     0.000000000E+00
      2     0.422114734E+01     0.465356738E+01     0.459807875E+01     0.422576966E+01    -0.706176702E-01     0.138811151E-01
      3     0.545123218E+01     0.574736463E+01     0.571155869E+01     0.545229502E+01    -0.652587374E-01     0.765500956E-02
      4     0.650903345E+01     0.674393213E+01     0.672309801E+01     0.650989521E+01    -0.558024830E-01     0.928559210E-03
      5     0.743442176E+01     0.762781245E+01     0.761455308E+01     0.743496246E+01    -0.480495061E-01    -0.447004068E-02
      6     0.825725362E+01     0.842074121E+01     0.841165653E+01     0.825720506E+01    -0.432112556E-01    -0.531964517E-02
      7     0.899573187E+01     0.913647460E+01     0.913040453E+01     0.899578513E+01    -0.407598877E-01    -0.481789087E-02
      8     0.965491031E+01     0.978181058E+01     0.977719169E+01     0.965473933E+01    -0.404298961E-01    -0.406194471E-02
# lambda =      9.3458
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.964857558E+00     0.000000000E+00     0.000000000E+00
      1     0.276170432E+01     0.000000000E+00     0.000000000E+00     0.276222766E+01     0.000000000E+00     0.000000000E+00
      2     0.422863448E+01     0.465922185E+01     0.460602281E+01     0.423370266E+01    -0.703965099E-01     0.131537587E-01
      3     0.545944070E+01     0.575742512E+01     0.572226179E+01     0.546061334E+01    -0.658760066E-01     0.763788310E-02
      4     0.651591512E+01     0.675224851E+01     0.673203369E+01     0.651713237E+01    -0.565397332E-01     0.107189177E-02
      5     0.743809097E+01     0.763335813E+01     0.762042005E+01     0.743900441E+01    -0.489714787E-01    -0.429778651E-02
      6     0.825532136E+01     0.842083475E+01     0.841195200E+01     0.825566827E+01    -0.440097529E-01    -0.532945028E-02
      7     0.898644165E+01     0.912913669E+01     0.912312637E+01     0.898677558E+01    -0.413005612E-01    -0.479287357E-02
      8     0.963715297E+01     0.976569280E+01     0.976118857E+01     0.963729260E+01    -0.408798531E-01    -0.405014139E-02
# lambda =      9.5238
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.967918394E+00     0.000000000E+00     0.000000000E+00
      1     0.277548657E+01     0.000000000E+00     0.000000000E+00     0.277529808E+01     0.000000000E+00     0.000000000E+00
      2     0.425918771E+01     0.467707299E+01     0.462867684E+01     0.426346655E+01    -0.663723716E-01     0.115150279E-01
      3     0.550298708E+01     0.580029264E+01     0.576771599E+01     0.550394575E+01    -0.633729737E-01     0.698950908E-02
      4     0.656796594E+01     0.680618139E+01     0.678707927E+01     0.656909021E+01    -0.550498322E-01     0.853011812E-03
      5     0.749442242E+01     0.769253290E+01     0.768007449E+01     0.749530353E+01    -0.478602624E-01    -0.447159332E-02
      6     0.831160158E+01     0.848057788E+01     0.847194165E+01     0.831205376E+01    -0.429547858E-01    -0.605030493E-02
      7     0.903929020E+01     0.918545100E+01     0.917938309E+01     0.903959861E+01    -0.400207168E-01    -0.584265765E-02
      8     0.968443329E+01     0.981608757E+01     0.981150952E+01     0.968457494E+01    -0.394194720E-01    -0.532326882E-02
# lambda =      9.7087
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.970083438E+00     0.000000000E+00     0.000000000E+00
      1     0.278684747E+01     0.000000000E+00     0.000000000E+00     0.278617517E+01     0.000000000E+00     0.000000000E+00
      2     0.428449492E+01     0.469165063E+01     0.464679073E+01     0.428923875E+01    -0.655241725E-01     0.100326173E-01
      3     0.554155067E+01     0.583793887E+01     0.580619876E+01     0.554226592E+01    -0.642143863E-01     0.657860518E-02
      4     0.661718417E+01     0.685526553E+01     0.683699583E+01     0.661832681E+01    -0.560429981E-01     0.946311596E-03
      5     0.755197009E+01     0.775122801E+01     0.773913681E+01     0.755272440E+01    -0.491831723E-01    -0.419571401E-02
      6     0.837356926E+01     0.854444135E+01     0.853616821E+01     0.837401754E+01    -0.442636490E-01    -0.597254181E-02
      7     0.910251613E+01     0.925095795E+01     0.924507698E+01     0.910271453E+01    -0.411302394E-01    -0.573260415E-02
      8     0.974750389E+01     0.988092797E+01     0.987658377E+01     0.974755371E+01    -0.402013113E-01    -0.508414185E-02
# lambda =      9.9010
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.972806764E+00     0.000000000E+00     0.000000000E+00
      1     0.280179521E+01     0.000000000E+00     0.000000000E+00     0.280078735E+01     0.000000000E+00     0.000000000E+00
      2     0.432002944E+01     0.471131385E+01     0.467071348E+01     0.432531289E+01    -0.640503189E-01     0.816612296E-02
      3     0.559702214E+01     0.589092898E+01     0.586063563E+01     0.559801960E+01    -0.651126563E-01     0.584186406E-02
      4     0.668997969E+01     0.692733257E+01     0.690995666E+01     0.669155222E+01    -0.574829597E-01     0.104849607E-02
      5     0.763968008E+01     0.783961924E+01     0.782793508E+01     0.764076801E+01    -0.508775708E-01    -0.364101634E-02
      6     0.847183973E+01     0.864451218E+01     0.863657215E+01     0.847272671E+01    -0.458058086E-01    -0.564474909E-02
      7     0.920653837E+01     0.935768943E+01     0.935185491E+01     0.920695004E+01    -0.423344077E-01    -0.560476874E-02
      8     0.985356839E+01     0.998962552E+01     0.998535384E+01     0.985380607E+01    -0.410853555E-01    -0.492165959E-02
# lambda =     10.1010
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.977030744E+00     0.000000000E+00     0.000000000E+00
      1     0.283294234E+01     0.000000000E+00     0.000000000E+00     0.283070985E+01     0.000000000E+00     0.000000000E+00
      2     0.440820021E+01     0.475420313E+01     0.472025706E+01     0.441156501E+01    -0.556821289E-01     0.477308221E-02
      3     0.574942953E+01     0.602514989E+01     0.599856550E+01     0.574944080E+01    -0.585406218E-01     0.321877651E-02
      4     0.690626869E+01     0.713470522E+01     0.711833185E+01     0.690649207E+01    -0.520620721E-01    -0.404151747E-03
      5     0.791676098E+01     0.811213281E+01     0.810080056E+01     0.791684654E+01    -0.456612575E-01    -0.412950216E-02
      6     0.880474369E+01     0.897617092E+01     0.896798425E+01     0.880476748E+01    -0.403148372E-01    -0.644956879E-02
      7     0.958719159E+01     0.973987577E+01     0.973360256E+01     0.958704510E+01    -0.363592087E-01    -0.725307408E-02
      8     0.102741773E+02     0.104132158E+02     0.104081272E+02     0.102737513E+02    -0.343764032E-01    -0.727871267E-02
# lambda =     10.3093
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.980077714E+00     0.000000000E+00     0.000000000E+00
      1     0.285982035E+01     0.000000000E+00     0.000000000E+00     0.285822518E+01     0.000000000E+00     0.000000000E+00
      2     0.449267828E+01     0.479349540E+01     0.476311699E+01     0.449412918E+01    -0.514906681E-01     0.264700536E-02
      3     0.589990651E+01     0.615554942E+01     0.613383158E+01     0.590201008E+01    -0.579487202E-01     0.145341201E-02
      4     0.712707953E+01     0.734543016E+01     0.732810755E+01     0.712587718E+01    -0.535861870E-01    -0.133466391E-02
      5     0.820069814E+01     0.839168024E+01     0.838245821E+01     0.820271407E+01    -0.478546278E-01    -0.437843830E-02
      6     0.914877964E+01     0.931946460E+01     0.930961310E+01     0.914745134E+01    -0.428178273E-01    -0.666210605E-02
      7     0.997857524E+01     0.101336470E+02     0.101288184E+02     0.998004206E+01    -0.389037814E-01    -0.788113959E-02
      8     0.107056706E+02     0.108488211E+02     0.108425799E+02     0.107045515E+02    -0.369442425E-01    -0.822878993E-02
# lambda =     10.5263
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.979956630E+00     0.000000000E+00     0.000000000E+00
      1     0.287392800E+01     0.000000000E+00     0.000000000E+00     0.287506008E+01     0.000000000E+00     0.000000000E+00
      2     0.455274891E+01     0.481882073E+01     0.478462572E+01     0.454798406E+01    -0.508248450E-01     0.316003584E-02
      3     0.601048398E+01     0.624536467E+01     0.623124632E+01     0.601730930E+01    -0.600829109E-01     0.240636407E-02
      4     0.730314627E+01     0.751011364E+01     0.748700918E+01     0.729653432E+01    -0.583065940E-01     0.370391033E-04
      5     0.843094865E+01     0.861542960E+01     0.861064976E+01     0.843714254E+01    -0.531900703E-01    -0.281980112E-02
      6     0.943747087E+01     0.960594039E+01     0.959140820E+01     0.943288118E+01    -0.486508975E-01    -0.524325442E-02
      7     0.103119645E+02     0.104673936E+02     0.104643238E+02     0.103161313E+02    -0.443263867E-01    -0.697628301E-02
      8     0.110806036E+02     0.112264261E+02     0.112174600E+02     0.110786617E+02    -0.423591404E-01    -0.777863101E-02
# lambda =     10.7527
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.974973078E+00     0.000000000E+00     0.000000000E+00
      1     0.286710260E+01     0.000000000E+00     0.000000000E+00     0.286944253E+01     0.000000000E+00     0.000000000E+00
      2     0.454989638E+01     0.481364149E+01     0.476988545E+01     0.454207229E+01    -0.584969897E-01     0.853793007E-02
