#  
#  ARTDECO flux output for each k-dis band 
#  
# number of wavelengths
  38
# number of solar zenith angles
   1
# number of sampled altitudes 
  50
##################
# Wavelength (microns) 
       8.000000000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
      24.000000000      28.600000000       0.048549102       1.647349626       0.030277283
      23.000000000      33.400000000       0.050180361       1.650329793       0.030169835
      22.000000000      39.100000000       0.051891971       1.653545115       0.030056559
      21.000000000      45.800000000       0.053674178       1.656989329       0.029938102
      20.000000000      53.700000000       0.055451680       1.660521701       0.029819529
      19.000000000      62.800000000       0.057123057       1.663929234       0.029707750
      18.000000000      73.600000000       0.058673315       1.667102224       0.029605183
      17.000000000      86.100000000       0.060119553       1.670009870       0.029511741
      16.000000000     100.700000000       0.061474743       1.672676074       0.029426292
      15.000000000     117.800000000       0.062780133       1.675181976       0.029345991
      14.000000000     137.800000000       0.064118154       1.677684203       0.029265687
      13.000000000     161.100000000       0.065539303       1.680270633       0.029182462
      12.000000000     188.200000000       0.066933482       1.682734246       0.029102804
      11.000000000     219.900000000       0.068172332       1.684845511       0.029033801
      10.000000000     256.800000000       0.069258008       1.686597502       0.028974949
       9.000000000     299.300000000       0.070412267       1.687980126       0.028921052
       8.000000000     347.300000000       0.469150821       2.355239025       0.004249947
       7.000000000     401.600000000       0.512174041       2.454448672       0.003463001
       6.000000000     462.700000000       0.516074883       2.459046125       0.003442011
       5.000000000     531.300000000       0.525331630       2.465951759       0.003406619
       4.000000000     608.100000000       0.543812820       2.475463547       0.003354821
       3.000000000     693.800000000       0.579587251       2.487306011       0.003277065
       2.000000000     789.700000000       0.636023512       2.498100566       0.003170521
       1.000000000     897.300000000       0.714171541       2.503743052       0.003037680
       0.000000000    1018.000000000       2.720428533       2.756194919       0.000000000
# Wavelength (microns) 
       9.009009000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.030033161       1.760301860       0.030033161
     115.000000000       0.000060000       0.030033161       1.760301860       0.030033161
     110.000000000       0.000110000       0.030033161       1.760301860       0.030033161
     105.000000000       0.000200000       0.030033161       1.760301860       0.030033161
     100.000000000       0.000410000       0.030033161       1.760301860       0.030033161
      95.000000000       0.000880000       0.030033161       1.760301860       0.030033161
      90.000000000       0.001980000       0.030033161       1.760301860       0.030033161
      85.000000000       0.004560000       0.030033161       1.760301860       0.030033161
      80.000000000       0.010300000       0.030033161       1.760301860       0.030033161
      75.000000000       0.022200000       0.030033161       1.760301860       0.030033161
      70.000000000       0.047000000       0.030033161       1.760301860       0.030033161
      65.000000000       0.095000000       0.030033161       1.760301860       0.030033161
      60.000000000       0.188000000       0.030046922       1.760300831       0.030032890
      55.000000000       0.362000000       0.030104984       1.760284425       0.030032004
      50.000000000       0.683000000       0.030316185       1.760200244       0.030029300
      47.500000000       0.940000000       0.030553998       1.760098193       0.030026406
      45.000000000       1.290000000       0.030943805       1.759949609       0.030021253
      42.500000000       1.800000000       0.031535942       1.759792493       0.030011935
      40.000000000       2.530000000       0.032405048       1.759701860       0.029995226
      37.500000000       3.600000000       0.033528359       1.759822482       0.029968432
      35.000000000       5.180000000       0.034862914       1.760351451       0.029928191
      32.500000000       7.560000000       0.036389165       1.761571811       0.029868883
      30.000000000      11.100000000       0.038147456       1.763694832       0.029785430
      27.500000000      16.460000000       0.040352214       1.766933329       0.029669419
      25.000000000      24.400000000       0.043208234       1.771631306       0.029510693
      24.000000000      28.600000000       0.044543990       1.773923671       0.029435417
      23.000000000      33.400000000       0.045961903       1.776407919       0.029355156
      22.000000000      39.100000000       0.047453770       1.779077689       0.029270352
      21.000000000      45.800000000       0.049011140       1.781925127       0.029181474
      20.000000000      53.700000000       0.050567014       1.784830503       0.029092368
      19.000000000      62.800000000       0.052030083       1.787615807       0.029008347
      18.000000000      73.600000000       0.053382163       1.790189257       0.028931410
      17.000000000      86.100000000       0.054634004       1.792525253       0.028861646
      16.000000000     100.700000000       0.055795807       1.794644638       0.028798272
      15.000000000     117.800000000       0.056902509       1.796614208       0.028739198
      14.000000000     137.800000000       0.058025149       1.798560844       0.028680560
      13.000000000     161.100000000       0.059206094       1.800553919       0.028620206
      12.000000000     188.200000000       0.060345156       1.802423601       0.028563234
      11.000000000     219.900000000       0.061323946       1.803982024       0.028515331
      10.000000000     256.800000000       0.062126101       1.805211915       0.028476952
       9.000000000     299.300000000       0.062867940       1.806093899       0.028446061
       8.000000000     347.300000000       0.495225478       2.511841964       0.004266294
       7.000000000     401.600000000       0.540569768       2.615269616       0.003489911
       6.000000000     462.700000000       0.542171910       2.617530333       0.003481532
       5.000000000     531.300000000       0.546350246       2.621069660       0.003465479
       4.000000000     608.100000000       0.555917346       2.626181165       0.003437400
       3.000000000     693.800000000       0.577227682       2.632820139       0.003388890
       2.000000000     789.700000000       0.615153528       2.638988133       0.003316740
       1.000000000     897.300000000       0.672430272       2.641213268       0.003219232
       0.000000000    1018.000000000       2.866204898       2.904491950       0.000000000
# Wavelength (microns) 
       9.174312000
# Solar zenithal angle (deg) 
60.000
