#
#     DEFINES WAVELENGTH DEPENDENT COMPLEX INDEX OF REFRACTION FOR ICE.
#     ALLOWABLE WAVELENGTH RANGE EXTENDS FROM 0.045 MICRONS TO 167 MICRONS.
#
#     STEPHEN G. WARREN - 1983
#     DEPT. OF ATMOSPHERIC SCIENCES
#     UNIVERSITY OF WASHINGTON
#     SEATTLE, WA  98195
#
#     BASED ON
#
#        WARREN,S.G.,1984.
#        OPTICAL CONSTANTS OF ICE FROM THE ULTRAVIOLET TO THE MICROWAVE.
#        APPLIED OPTICS,23,1206-1225
#
#  nlambda = 
 468
#    lambda          real              im 
#   (microns)
#
   7.0419998       1.3193300      5.49999997E-02
   7.1430001       1.3189600      5.49999997E-02
   7.2459998       1.3190900      5.40000014E-02
   7.3530002       1.3179600      5.20000011E-02
   7.4629998       1.3163100      5.20000011E-02
   7.5760002       1.3154200      5.20000011E-02
   7.6919999       1.3154000      5.20000011E-02
   7.8119998       1.3155200      5.00000007E-02
   7.9369998       1.3145500      4.69999984E-02
   8.0649996       1.3119299      4.30000015E-02
   8.1969995       1.3067700      3.90000008E-02
   8.3330002       1.2993400      3.70000005E-02
   8.4750004       1.2925299      3.90000008E-02
   8.6960001       1.2838900      3.99999991E-02
   8.9289999       1.2740099      4.19999994E-02
   9.0909996       1.2672400      4.39999998E-02
   9.2589998       1.2599000      4.50000018E-02
   9.5240002       1.2451000      4.60000001E-02
   9.8039999       1.2224100      4.69999984E-02
   10.000000       1.1991301      5.09999990E-02
   10.200000       1.1715000      6.49999976E-02
   10.310000       1.1552800      7.50000030E-02
   10.420000       1.1370000      8.79999995E-02
   10.530000       1.1180800      0.10800000    
   10.640000       1.1013401      0.13400000    
   10.750000       1.0908300      0.16800000    
   10.870000       1.0873400      0.20400000    
   11.000000       1.0925400      0.24800000    
   11.110000       1.1065400      0.28000000    
   11.360000       1.1477900      0.34099999    
   11.630000       1.2020200      0.37900001    
   11.900000       1.2582500      0.40900001    
   12.200000       1.3230500      0.42199999    
   12.500000       1.3857400      0.42199999    
   12.820000       1.4447800      0.40300000    
   12.990000       1.4717000      0.38900000    
   13.160000       1.4961900      0.37400001    
   13.330000       1.5165200      0.35400000    
   13.510000       1.5332800      0.33500001    
   13.700000       1.5490000      0.31500000    
   13.890000       1.5627600      0.29400000    
   14.080000       1.5731699      0.27100000    
   14.290000       1.5802799      0.24600001    
   14.710000       1.5791800      0.19800000    
   15.150000       1.5667200      0.16400000    
   15.380000       1.5586900      0.15200000    
   15.630000       1.5508100      0.14200000    
   16.129999       1.5380700      0.12800001    
   16.389999       1.5329601      0.12500000    
   16.670000       1.5322000      0.12300000    
   16.950001       1.5334001      0.11600000    
   17.240000       1.5328900      0.10700000    
   18.180000       1.5170500      7.90000036E-02
   18.870001       1.5009700      7.19999969E-02
   19.230000       1.4968100      7.59999976E-02
   19.610001       1.4992800      7.50000030E-02
   20.000000       1.5015301      6.70000017E-02
   20.410000       1.4985600      5.49999997E-02
   20.830000       1.4905300      4.50000018E-02
   22.219999       1.4607000      2.89999992E-02
   22.600000       1.4518200      2.74999999E-02
   23.049999       1.4422300      2.70000007E-02
   23.600000       1.4315799      2.73000002E-02
   24.600000       1.4138499      2.88999993E-02
   25.000000       1.4067600      2.99999993E-02
   26.000000       1.3895500      3.40000018E-02
   28.570000       1.3489400      5.29999994E-02
   31.000000       1.3103900      7.54999965E-02
   33.330002       1.2642000      0.10600000    
   34.480000       1.2365600      0.13500001    
   35.639999       1.2166300      0.17610000    
   37.000000       1.2023300      0.22290000    
   38.240002       1.1964000      0.27460000    
   39.599998       1.1996900      0.32800001    
