# sum atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
8.900e+01     2.370e-03     1.357e+02     7.840e+05     2.120e+05     2.910e+02     7.410e-01     1.240e+00     3.879e-03     2.719e-06     1.425e-07     1.630e+01     6.436e-06     8.865e-10     7.290e-09     2.101e-13     2.249e-12     4.870e-01     6.833e-12     6.072e-05     1.914e-11     3.089e-11     6.345e-12     7.650e-05     2.273e-06     1.000e-08     2.666e-06     6.877e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.800e+01     2.800e-03     1.356e+02     7.860e+05     2.130e+05     2.996e+02     6.370e-01     1.470e+00     4.266e-03     3.138e-06     1.675e-07     1.500e+01     7.235e-06     1.004e-09     9.814e-09     3.509e-13     3.036e-12     3.810e-01     8.288e-12     6.102e-05     1.914e-11     3.367e-11     8.795e-12     7.650e-05     2.322e-06     1.000e-08     2.847e-06     7.235e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.700e+01     3.330e-03     1.364e+02     7.860e+05     2.130e+05     3.074e+02     5.360e-01     1.770e+00     4.709e-03     3.642e-06     1.982e-07     1.360e+01     8.172e-06     1.142e-09     1.337e-08     5.983e-13     4.147e-12     2.940e-01     1.013e-11     6.137e-05     1.914e-11     3.682e-11     1.235e-11     7.650e-05     2.372e-06     1.000e-08     3.049e-06     7.627e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.600e+01     3.970e-03     1.380e+02     7.860e+05     2.130e+05     3.141e+02     4.520e-01     2.150e+00     5.206e-03     4.236e-06     2.349e-07     1.220e+01     9.245e-06     1.302e-09     1.829e-08     1.028e-12     5.690e-12     2.290e-01     1.242e-11     6.170e-05     1.914e-11     4.032e-11     1.743e-11     7.650e-05     2.421e-06     1.000e-08     3.269e-06     8.046e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.500e+01     4.690e-03     1.408e+02     7.870e+05     2.130e+05     3.200e+02     3.860e-01     2.520e+00     5.725e-03     4.889e-06     2.761e-07     1.110e+01     1.039e-05     1.475e-09     2.462e-08     1.717e-12     7.680e-12     1.810e-01     1.506e-11     6.205e-05     1.914e-11     4.394e-11     2.416e-11     7.650e-05     2.471e-06     1.000e-08     3.492e-06     8.464e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.400e+01     5.540e-03     1.444e+02     7.850e+05     2.130e+05     3.252e+02     3.310e-01     2.960e+00     6.296e-03     5.641e-06     3.245e-07     1.000e+01     1.168e-05     1.670e-09     3.314e-08     2.866e-12     1.036e-11     1.460e-01     1.827e-11     6.238e-05     1.914e-11     4.789e-11     3.348e-11     7.650e-05     2.537e-06     1.000e-08     3.729e-06     8.904e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.300e+01     6.540e-03     1.484e+02     7.860e+05     2.130e+05     3.295e+02     2.880e-01     3.380e+00     6.921e-03     6.505e-06     3.810e-07     8.470e+00     1.312e-05     1.890e-09     4.455e-08     4.777e-12     1.397e-11     1.190e-01     2.214e-11     6.272e-05     1.914e-11     5.217e-11     4.633e-11     7.650e-05     2.602e-06     1.000e-08     3.982e-06     9.365e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.200e+01     7.730e-03     1.526e+02     7.870e+05     2.130e+05     3.332e+02     2.510e-01     3.850e+00     7.613e-03     7.510e-06     4.480e-07     7.180e+00     1.476e-05     2.141e-09     6.002e-08     7.991e-12     1.887e-11     9.510e-02     2.687e-11     6.307e-05     1.914e-11     5.688e-11     6.428e-11     7.650e-05     2.668e-06     1.000e-08     4.254e-06     9.854e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.100e+01     9.070e-03     1.569e+02     7.880e+05     2.120e+05     3.364e+02     2.180e-01     4.390e+00     8.340e-03     8.616e-06     5.230e-07     6.090e+00     1.651e-05     2.412e-09     7.981e-08     1.307e-11     2.516e-11     7.580e-02     3.234e-11     6.343e-05     1.914e-11     6.177e-11     8.792e-11     7.650e-05     2.734e-06     1.000e-08     4.532e-06     1.035e-05     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.000e+01     1.060e-02     1.612e+02     7.880e+05     2.120e+05     3.394e+02     1.900e-01     5.000e+00     9.116e-03     9.851e-06     6.083e-07     5.160e+00     1.842e-05     2.709e-09     1.054e-07     2.112e-11     3.331e-11     6.100e-02     3.874e-11     6.382e-05     1.914e-11     6.695e-11     1.193e-10     7.650e-05     2.800e-06     1.000e-08     4.820e-06     1.085e-05     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
