# tropic atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
0
# sampled gas :
N2
O2 
CO2 
O3 
H2O
CH4
N2O
HNO3
CO
NO2
N2O5
ClO
HOCl
ClONO2
NO
HNO4
HCN
NH3
F11
F12
F14
F22
CCl4
COF2
H2O2
C2H2
C2H6
OCS
SO2
SF6
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
8.200e+01     7.917e-03     2.058e+02     7.870e+05     2.130e+05     3.332e+02     2.511e-01     3.071e+00     5.841e-02     6.583e-04     1.740e-06     2.690e+01     9.533e-08     1.091e-08     4.853e-06     9.680e-10     1.000e-10     4.077e-03     1.836e-13     6.307e-05     1.914e-11     2.827e-11     5.027e-07     7.650e-05     2.668e-06     1.000e-08     1.379e-08     2.113e-05     0.000e+00     9.508e-15     1.091e-08     2.000e-04     1.650e-06
8.100e+01     9.300e-03     2.065e+02     7.880e+05     2.120e+05     3.364e+02     2.238e-01     3.181e+00     6.190e-02     6.846e-04     1.931e-06     2.470e+01     9.742e-08     1.320e-08     5.515e-06     1.326e-09     1.000e-10     3.587e-03     2.843e-13     6.343e-05     1.914e-11     3.639e-11     5.708e-07     7.650e-05     2.734e-06     1.000e-08     1.892e-08     2.176e-05     0.000e+00     1.503e-14     1.091e-08     2.000e-04     1.650e-06
8.000e+01     1.092e-02     2.069e+02     7.880e+05     2.120e+05     3.394e+02     2.048e-01     3.295e+00     6.558e-02     7.136e-04     2.143e-06     2.213e+01     9.988e-08     1.598e-08     6.266e-06     1.814e-09     1.000e-10     3.259e-03     4.395e-13     6.382e-05     1.914e-11     4.681e-11     6.479e-07     7.650e-05     2.800e-06     1.000e-08     2.594e-08     2.240e-05     0.000e+00     2.373e-14     1.091e-08     2.000e-04     1.650e-06
7.900e+01     1.283e-02     2.070e+02     7.870e+05     2.120e+05     3.421e+02     2.038e-01     3.431e+00     6.949e-02     7.462e-04     2.378e-06     2.090e+01     1.110e-07     1.935e-08     7.123e-06     2.485e-09     1.000e-10     3.069e-03     6.807e-13     6.428e-05     1.914e-11     6.028e-11     7.358e-07     7.650e-05     2.882e-06     1.000e-08     3.561e-08     2.307e-05     0.000e+00     3.753e-14     1.091e-08     2.000e-04     1.650e-06
7.800e+01     1.507e-02     2.069e+02     7.870e+05     2.120e+05     3.447e+02     2.028e-01     3.573e+00     7.364e-02     7.810e-04     2.639e-06     1.956e+01     1.244e-07     2.342e-08     8.094e-06     3.402e-09     1.000e-10     3.000e-03     1.054e-12     6.476e-05     1.914e-11     7.759e-11     8.355e-07     7.650e-05     2.964e-06     1.000e-08     4.886e-08     2.376e-05     0.000e+00     5.931e-14     1.091e-08     2.000e-04     1.650e-06
7.700e+01     1.770e-02     2.069e+02     7.880e+05     2.120e+05     3.471e+02     2.018e-01     3.721e+00     7.802e-02     8.174e-04     2.928e-06     1.798e+01     1.402e-07     2.834e-08     9.198e-06     4.658e-09     1.000e-10     2.985e-03     1.630e-12     6.527e-05     1.914e-11     9.986e-11     9.486e-07     7.650e-05     3.047e-06     1.000e-08     6.702e-08     2.446e-05     0.000e+00     9.371e-14     1.091e-08     2.000e-04     1.650e-06
7.600e+01     2.078e-02     2.070e+02     7.880e+05     2.120e+05     3.495e+02     2.009e-01     3.875e+00     8.266e-02     8.545e-04     3.249e-06     1.613e+01     1.587e-07     3.429e-08     1.045e-05     6.371e-09     1.000e-10     2.929e-03     2.520e-12     6.587e-05     1.914e-11     1.284e-10     1.077e-06     7.650e-05     3.129e-06     1.000e-08     9.186e-08     2.519e-05     0.000e+00     1.479e-13     1.091e-08     2.000e-04     1.650e-06
7.500e+01     2.439e-02     2.074e+02     7.880e+05     2.120e+05     3.519e+02     2.017e-01     4.034e+00     8.756e-02     8.938e-04     3.603e-06     1.397e+01     1.803e-07     4.147e-08     1.187e-05     8.711e-09     1.000e-10     2.834e-03     3.892e-12     6.657e-05     1.914e-11     1.651e-10     1.222e-06     7.650e-05     3.212e-06     1.000e-08     1.258e-07     2.593e-05     0.000e+00     2.332e-13     1.091e-08     2.000e-04     1.650e-06
7.400e+01     2.863e-02     2.080e+02     7.880e+05     2.120e+05     3.541e+02     2.194e-01     4.178e+00     9.276e-02     9.427e-04     3.997e-06     1.247e+01     2.073e-07     5.016e-08     1.348e-05     1.191e-08     1.000e-10     2.703e-03     6.012e-12     6.755e-05     1.914e-11     2.123e-10     1.387e-06     7.650e-05     3.310e-06     1.000e-08     1.724e-07     2.670e-05     0.000e+00     3.679e-13     1.091e-08     2.000e-04     1.650e-06
7.300e+01     3.360e-02     2.088e+02     7.890e+05     2.120e+05     3.564e+02     2.380e-01     4.312e+00     9.826e-02     9.934e-04     4.433e-06     1.148e+01     2.399e-07     6.066e-08     1.531e-05     1.628e-08     1.000e-10     2.537e-03     9.283e-12     6.863e-05     1.914e-11     2.730e-10     1.573e-06     7.650e-05     3.410e-06     1.000e-08     2.362e-07     2.749e-05     0.000e+00     5.800e-13     1.091e-08     2.000e-04     1.650e-06
