#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00     48   1900     0.347192687E+00     0.200008798E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.982268650E+00     0.221920159E+00     0.244473639E+00     0.478771967E-01     0.259786612E-01     0.338015708E-01    -0.213447107E-01
    -0.981957150E+00     0.223461334E+00     0.242661673E+00     0.464845484E-01     0.280594911E-01     0.335618407E-01    -0.222226724E-01
    -0.981642960E+00     0.224841137E+00     0.240677282E+00     0.449652017E-01     0.300188089E-01     0.333755287E-01    -0.230757888E-01
    -0.981326090E+00     0.226051232E+00     0.238529615E+00     0.433255977E-01     0.318449105E-01     0.332405143E-01    -0.238991553E-01
    -0.981006530E+00     0.227084488E+00     0.236228402E+00     0.415726176E-01     0.335272042E-01     0.331545087E-01    -0.246881367E-01
    -0.980684290E+00     0.227934851E+00     0.233784183E+00     0.397137674E-01     0.350560337E-01     0.331150857E-01    -0.254382876E-01
    -0.980359360E+00     0.228597497E+00     0.231207977E+00     0.377569347E-01     0.364229345E-01     0.331196824E-01    -0.261454735E-01
    -0.980031750E+00     0.229068746E+00     0.228511534E+00     0.357105910E-01     0.376204838E-01     0.331656180E-01    -0.268057993E-01
    -0.979701460E+00     0.229346142E+00     0.225707056E+00     0.335835862E-01     0.386424740E-01     0.332501040E-01    -0.274156977E-01
    -0.979368490E+00     0.229428433E+00     0.222807215E+00     0.313851710E-01     0.394838874E-01     0.333702594E-01    -0.279719230E-01
    -0.979032840E+00     0.229315566E+00     0.219825097E+00     0.291249604E-01     0.401409154E-01     0.335231237E-01    -0.284715669E-01
    -0.978694500E+00     0.229008662E+00     0.216774052E+00     0.268128266E-01     0.406109810E-01     0.337056767E-01    -0.289120841E-01
    -0.978353490E+00     0.228510046E+00     0.213667998E+00     0.244591313E-01     0.408926923E-01     0.339148290E-01    -0.292912541E-01
    -0.978009800E+00     0.227823168E+00     0.210520813E+00     0.220742718E-01     0.409859238E-01     0.341474674E-01    -0.296072686E-01
    -0.977663440E+00     0.226952634E+00     0.207346723E+00     0.196689778E-01     0.408917493E-01     0.344004405E-01    -0.298586793E-01
    -0.977314400E+00     0.225904088E+00     0.204159876E+00     0.172539868E-01     0.406124367E-01     0.346705976E-01    -0.300444395E-01
    -0.976962680E+00     0.224684240E+00     0.200974544E+00     0.148402044E-01     0.401514174E-01     0.349547810E-01    -0.301638808E-01
    -0.976608290E+00     0.223300838E+00     0.197805062E+00     0.124386518E-01     0.395132821E-01     0.352498366E-01    -0.302167241E-01
    -0.976251230E+00     0.221762550E+00     0.194665573E+00     0.100602768E-01     0.387037160E-01     0.355526421E-01    -0.302030848E-01
    -0.975891490E+00     0.220078885E+00     0.191569973E+00     0.771590647E-02     0.377294306E-01     0.358601204E-01    -0.301234601E-01
    -0.975529090E+00     0.218260320E+00     0.188532182E+00     0.541645469E-02     0.365982269E-01     0.361692163E-01    -0.299787342E-01
