#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.488154958E+00     0.200000506E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.987152130E+00     0.157993017E+00     0.970873588E-01    -0.967955413E-01    -0.400235553E-01    -0.253415051E-01    -0.757614271E-02
    -0.986886440E+00     0.159662229E+00     0.974086047E-01    -0.971039412E-01    -0.389434439E-01    -0.258361122E-01    -0.772795167E-02
    -0.986618060E+00     0.161341408E+00     0.977320806E-01    -0.974141351E-01    -0.378571417E-01    -0.263345419E-01    -0.788109695E-02
    -0.986346970E+00     0.163030486E+00     0.980577827E-01    -0.977261074E-01    -0.367646991E-01    -0.268367969E-01    -0.803558384E-02
    -0.986073180E+00     0.164729206E+00     0.983856706E-01    -0.980398076E-01    -0.356662885E-01    -0.273428240E-01    -0.819140045E-02
    -0.985796700E+00     0.166437309E+00     0.987157044E-01    -0.983551849E-01    -0.345620827E-01    -0.278525698E-01    -0.834853485E-02
    -0.985517510E+00     0.168154724E+00     0.990478796E-01    -0.986722225E-01    -0.334521352E-01    -0.283660362E-01    -0.850699211E-02
    -0.985235630E+00     0.169881129E+00     0.993821439E-01    -0.989908579E-01    -0.323366596E-01    -0.288831509E-01    -0.866675450E-02
    -0.984951050E+00     0.171616388E+00     0.997184808E-01    -0.993110623E-01    -0.312157506E-01    -0.294038967E-01    -0.882782126E-02
    -0.984663780E+00     0.173360239E+00     0.100056850E+00    -0.996327839E-01    -0.300895829E-01    -0.299282194E-01    -0.899018026E-02
    -0.984373810E+00     0.175112543E+00     0.100397234E+00    -0.999559933E-01    -0.289582527E-01    -0.304561012E-01    -0.915383061E-02
    -0.984081150E+00     0.176873039E+00     0.100739592E+00    -0.100280638E+00    -0.278219355E-01    -0.309874876E-01    -0.931876004E-02
    -0.983785790E+00     0.178641584E+00     0.101083908E+00    -0.100606689E+00    -0.266807293E-01    -0.315223599E-01    -0.948496752E-02
    -0.983487750E+00     0.180417856E+00     0.101430129E+00    -0.100934081E+00    -0.255348482E-01    -0.320606454E-01    -0.965243509E-02
    -0.983187010E+00     0.182201770E+00     0.101778249E+00    -0.101262796E+00    -0.243843532E-01    -0.326023431E-01    -0.982116718E-02
    -0.982883580E+00     0.183993062E+00     0.102128228E+00    -0.101592779E+00    -0.232294209E-01    -0.331473977E-01    -0.999115134E-02
    -0.982577460E+00     0.185791527E+00     0.102480036E+00    -0.101923990E+00    -0.220701899E-01    -0.336957716E-01    -0.101623807E-01
    -0.982268650E+00     0.187596959E+00     0.102833644E+00    -0.102256384E+00    -0.209067993E-01    -0.342474272E-01    -0.103348482E-01
    -0.981957150E+00     0.189409150E+00     0.103189022E+00    -0.102589920E+00    -0.197393888E-01    -0.348023265E-01    -0.105085468E-01
    -0.981642960E+00     0.191227894E+00     0.103546141E+00    -0.102924554E+00    -0.185680983E-01    -0.353604313E-01    -0.106834695E-01
    -0.981326090E+00     0.193052923E+00     0.103904961E+00    -0.103260233E+00    -0.173931052E-01    -0.359216856E-01    -0.108596036E-01
    -0.981006530E+00     0.194884088E+00     0.104265462E+00    -0.103596923E+00    -0.162145130E-01    -0.364860684E-01    -0.110369474E-01
    -0.980684290E+00     0.196721121E+00     0.104627605E+00    -0.103934570E+00    -0.150324996E-01    -0.370535234E-01    -0.112154880E-01
    -0.980359360E+00     0.198563869E+00     0.104991371E+00    -0.104273141E+00    -0.138471696E-01    -0.376240292E-01    -0.113952238E-01
    -0.980031750E+00     0.200412065E+00     0.105356718E+00    -0.104612580E+00    -0.126587011E-01    -0.381975290E-01    -0.115761417E-01
    -0.979701460E+00     0.202265498E+00     0.105723618E+00    -0.104952843E+00    -0.114672358E-01    -0.387739834E-01    -0.117582344E-01
    -0.979368490E+00     0.204123957E+00     0.106092040E+00    -0.105293887E+00    -0.102729156E-01    -0.393533530E-01    -0.119414943E-01
    -0.979032840E+00     0.205987230E+00     0.106461955E+00    -0.105635665E+00    -0.907588299E-02    -0.399355979E-01    -0.121259139E-01
    -0.978694500E+00     0.207855159E+00     0.106833344E+00    -0.105978143E+00    -0.787624503E-02    -0.405206956E-01    -0.123114911E-01
    -0.978353490E+00     0.209727421E+00     0.107206155E+00    -0.106321255E+00    -0.667421551E-02    -0.411085711E-01    -0.124982071E-01
    -0.978009800E+00     0.211603858E+00     0.107580370E+00    -0.106664965E+00    -0.546990192E-02    -0.416992016E-01    -0.126860598E-01
    -0.977663440E+00     0.213484202E+00     0.107955947E+00    -0.107009218E+00    -0.426348228E-02    -0.422925293E-01    -0.128750358E-01
    -0.977314400E+00     0.215368293E+00     0.108332867E+00    -0.107353978E+00    -0.305506493E-02    -0.428885307E-01    -0.130651328E-01
    -0.976962680E+00     0.217255916E+00     0.108711102E+00    -0.107699199E+00    -0.184479354E-02    -0.434871649E-01    -0.132563429E-01
    -0.976608290E+00     0.219146802E+00     0.109090610E+00    -0.108044824E+00    -0.632846034E-03    -0.440883737E-01    -0.134486526E-01
