# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.385241485E+01
#        sza               vza              vaa              theta              I_dw              Q_dw              U_dw                dI_dw            dQ_dw             dU_dw              Polar. (%)
      60.000000000     124.000000000      90.000000000     114.792628303       0.033481660       0.016131197      -0.018329453       0.000000000       0.000000000       0.000000000      72.926155327
      60.000000000     124.000000000     180.000000000     153.000000000       0.035316854      -0.017199728      -0.000000000       0.000000000       0.000000000       0.000000000      48.701189894
      60.000000000     125.000000000       0.000000000      86.000000000       0.054699411       0.003127712       0.000000000       0.000000000       0.000000000       0.000000000       5.717998685
      60.000000000     125.000000000      90.000000000     114.489015821       0.032911368       0.015874786      -0.017785488       0.000000000       0.000000000       0.000000000      72.436137707
      60.000000000     125.000000000     180.000000000     154.000000000       0.034296737      -0.017274962      -0.000000000       0.000000000       0.000000000       0.000000000      50.369114242
      60.000000000     126.000000000       0.000000000      85.000000000       0.053616578       0.002947112       0.000000000       0.000000000       0.000000000       0.000000000       5.496644134
      60.000000000     126.000000000      90.000000000     114.178203960       0.032367701       0.015630752      -0.017258543       0.000000000       0.000000000       0.000000000      71.938101704
      60.000000000     126.000000000     180.000000000     155.000000000       0.033327944      -0.017341521      -0.000000000       0.000000000       0.000000000       0.000000000      52.032975916
      60.000000000     127.000000000       0.000000000      84.000000000       0.052566016       0.002758392       0.000000000       0.000000000       0.000000000       0.000000000       5.247481369
      60.000000000     127.000000000      90.000000000     113.860330715       0.031849217       0.015398415      -0.016747666       0.000000000       0.000000000       0.000000000      71.432604954
      60.000000000     127.000000000     180.000000000     156.000000000       0.032408022      -0.017399602      -0.000000000       0.000000000       0.000000000       0.000000000      53.689183472
      60.000000000     128.000000000       0.000000000      83.000000000       0.051546099       0.002562034       0.000000000       0.000000000       0.000000000       0.000000000       4.970374123
      60.000000000     128.000000000      90.000000000     113.535534978       0.031354569       0.015177139      -0.016251968       0.000000000       0.000000000       0.000000000      70.920211659
      60.000000000     128.000000000     180.000000000     157.000000000       0.031534678      -0.017449387      -0.000000000       0.000000000       0.000000000       0.000000000      55.333962097
      60.000000000     129.000000000       0.000000000      82.000000000       0.050555307       0.002358493       0.000000000       0.000000000       0.000000000       0.000000000       4.665174230
      60.000000000     129.000000000      90.000000000     113.203956389       0.030882497       0.014966331      -0.015770611       0.000000000       0.000000000       0.000000000      70.401492663
      60.000000000     129.000000000     180.000000000     158.000000000       0.030705773      -0.017491041      -0.000000000       0.000000000       0.000000000       0.000000000      56.963361885
      60.000000000     130.000000000       0.000000000      81.000000000       0.049592226       0.002148197       0.000000000       0.000000000       0.000000000       0.000000000       4.331722014
      60.000000000     130.000000000      90.000000000     112.865735196       0.030431827       0.014765434      -0.015302812       0.000000000       0.000000000       0.000000000      69.877025507
      60.000000000     130.000000000     180.000000000     159.000000000       0.029919310      -0.017524718      -0.000000000       0.000000000       0.000000000       0.000000000      58.573268537
      60.000000000     131.000000000       0.000000000      80.000000000       0.048655535       0.001931550       0.000000000       0.000000000       0.000000000       0.000000000       3.969846755
      60.000000000     131.000000000      90.000000000     112.521012118       0.030001460       0.014573930      -0.014847834       0.000000000       0.000000000       0.000000000      69.347394444
      60.000000000     131.000000000     180.000000000     160.000000000       0.029173424      -0.017550561      -0.000000000       0.000000000       0.000000000       0.000000000      60.159416597
      60.000000000     132.000000000       0.000000000      79.000000000       0.047744007       0.001708933       0.000000000       0.000000000       0.000000000       0.000000000       3.579367233
      60.000000000     132.000000000      90.000000000     112.169928217       0.029590368       0.014391332      -0.014404989       0.000000000       0.000000000       0.000000000      68.813190441
      60.000000000     132.000000000     180.000000000     161.000000000       0.028466369      -0.017568705      -0.000000000       0.000000000       0.000000000       0.000000000      61.717405341
      60.000000000     133.000000000       0.000000000      78.000000000       0.046856497       0.001480709       0.000000000       0.000000000       0.000000000       0.000000000       3.160092355
      60.000000000     133.000000000      90.000000000     111.812624777       0.029197592       0.014217187      -0.013973627       0.000000000       0.000000000       0.000000000      68.275011156
      60.000000000     133.000000000     180.000000000     162.000000000       0.027796516      -0.017579272      -0.000000000       0.000000000       0.000000000       0.000000000      63.242717364
      60.000000000     134.000000000       0.000000000      77.000000000       0.045991939       0.001247219       0.000000000       0.000000000       0.000000000       0.000000000       2.711821876
      60.000000000     134.000000000      90.000000000     111.449243191       0.028822234       0.014051068      -0.013553138       0.000000000       0.000000000       0.000000000      67.733460902
      60.000000000     134.000000000     180.000000000     163.000000000       0.027162337      -0.017582382      -0.000000000       0.000000000       0.000000000       0.000000000      64.730739892
      60.000000000     135.000000000       0.000000000      76.000000000       0.045149341       0.001008793       0.000000000       0.000000000       0.000000000       0.000000000       2.234347216
      60.000000000     135.000000000      90.000000000     111.079924852       0.028463454       0.013892579      -0.013142950       0.000000000       0.000000000       0.000000000      67.189150600
