# 
# Monochromatic solar spectrum 
# Integrated value (W m-2) : 
1373.097
# Number of sampled values :
54154
# 
# lambda (microns)         Spectr. (W m-2 microns-1) 
1.86098446e-01  3.1765116e+00
1.86101909e-01  3.3994963e+00
1.86105373e-01  2.9169663e+00
1.86108836e-01  2.3460172e+00
1.86112300e-01  2.2144876e+00
1.86115764e-01  2.8348374e+00
1.86119228e-01  4.0701906e+00
1.86122692e-01  3.5102798e+00
1.86126156e-01  3.9226199e+00
1.86129621e-01  4.4127200e+00
1.86133085e-01  4.1738318e+00
1.86136550e-01  3.1046852e+00
1.86140015e-01  3.0920063e+00
1.86143479e-01  3.2998154e+00
1.86146944e-01  3.2747891e+00
1.86150410e-01  3.4253760e+00
1.86153875e-01  3.4383247e+00
1.86157340e-01  2.7412256e+00
1.86160806e-01  1.7217664e+00
1.86164271e-01  1.6778045e+00
1.86167737e-01  1.8236784e+00
1.86171203e-01  1.9197688e+00
1.86174669e-01  2.2548117e+00
1.86178135e-01  3.2471848e+00
1.86181602e-01  3.6576393e+00
1.86185068e-01  2.5343336e+00
1.86188535e-01  2.7735128e+00
1.86192001e-01  2.8834453e+00
1.86195468e-01  2.5876685e+00
1.86198935e-01  3.3921437e+00
1.86202402e-01  4.8210176e+00
1.86205869e-01  4.8457629e+00
1.86209337e-01  4.7381687e+00
1.86212804e-01  4.4301798e+00
1.86216272e-01  3.9878619e+00
1.86219739e-01  3.8290458e+00
1.86223207e-01  2.4946353e+00
1.86226675e-01  2.8910001e+00
1.86230143e-01  3.1937687e+00
1.86233611e-01  2.7874445e+00
1.86237080e-01  1.8794530e+00
1.86240548e-01  1.5041885e+00
1.86244017e-01  2.7620245e+00
1.86247486e-01  2.7720368e+00
1.86250955e-01  2.7201436e+00
1.86254424e-01  2.7915175e+00
1.86257893e-01  3.0248324e+00
1.86261362e-01  3.7547837e+00
1.86264831e-01  3.9384145e+00
1.86268301e-01  3.6339211e+00
1.86271771e-01  4.2472806e+00
1.86275240e-01  4.6747317e+00
1.86278710e-01  3.7335077e+00
1.86282180e-01  2.9193499e+00
1.86285650e-01  3.6147419e+00
1.86289121e-01  3.9386627e+00
1.86292591e-01  4.5996373e+00
1.86296062e-01  4.9175444e+00
1.86299532e-01  4.3671479e+00
1.86303003e-01  4.5557740e+00
1.86306474e-01  4.8013559e+00
1.86309945e-01  3.7356514e+00
1.86313416e-01  3.0548962e+00
1.86316888e-01  2.8289910e+00
1.86320359e-01  2.5986809e+00
1.86323831e-01  3.9333473e+00
1.86327303e-01  4.2584754e+00
1.86330774e-01  3.5442332e+00
1.86334246e-01  3.7306760e+00
1.86337718e-01  4.3219104e+00
1.86341191e-01  3.9663166e+00
1.86344663e-01  4.3317555e+00
1.86348136e-01  3.7297225e+00
1.86351608e-01  3.5011248e+00
1.86355081e-01  2.8445356e+00
1.86358554e-01  2.4721006e+00
1.86362027e-01  3.5777666e+00
1.86365500e-01  3.8766238e+00
1.86368973e-01  3.2564192e+00
1.86372447e-01  2.6234725e+00
1.86375920e-01  2.7098266e+00
1.86379394e-01  3.5369705e+00
1.86382868e-01  4.4224987e+00
1.86386342e-01  3.7194696e+00
1.86389816e-01  3.2549834e+00
1.86393290e-01  2.9309555e+00
1.86396764e-01  3.0956247e+00
1.86400239e-01  3.6711514e+00
1.86403713e-01  4.1065943e+00
1.86407188e-01  3.6070392e+00
1.86410663e-01  3.5360406e+00
1.86414138e-01  3.0714520e+00
1.86417613e-01  2.9974686e+00
1.86421088e-01  2.9922381e+00
1.86424563e-01  1.8132450e+00
1.86428039e-01  2.6050374e+00
1.86431514e-01  2.9234467e+00
1.86434990e-01  2.4659430e+00
1.86438466e-01  2.5663632e+00
1.86441942e-01  3.1580766e+00
1.86445418e-01  2.5529562e+00
1.86448894e-01  2.5615448e+00
1.86452371e-01  2.7527832e+00
1.86455847e-01  3.9447404e+00
1.86459324e-01  4.9390250e+00
1.86462801e-01  4.7947347e+00
1.86466278e-01  3.6248446e+00
1.86469755e-01  2.7659201e+00
1.86473232e-01  2.9399386e+00
1.86476709e-01  2.6967431e+00
1.86480186e-01  2.3199248e+00
1.86483664e-01  2.2401951e+00
1.86487142e-01  2.4902617e+00
1.86490620e-01  2.6319023e+00
1.86494097e-01  3.0553503e+00
1.86497576e-01  3.8402035e+00
1.86501054e-01  3.9270555e+00
1.86504532e-01  2.9128744e+00
1.86508011e-01  1.9207724e+00
1.86511489e-01  3.1030256e+00
1.86514968e-01  3.5043416e+00
1.86518447e-01  3.7828286e+00
1.86521926e-01  4.0216100e+00
1.86525405e-01  4.1302485e+00
1.86528884e-01  3.9687718e+00
1.86532363e-01  2.6669893e+00
1.86535843e-01  2.0270567e+00
1.86539322e-01  2.6658319e+00
1.86542802e-01  3.8584766e+00
1.86546282e-01  4.4114028e+00
1.86549762e-01  3.4899708e+00
1.86553242e-01  3.1979523e+00
1.86556723e-01  3.1062677e+00
1.86560203e-01  2.9886261e+00
1.86563684e-01  2.5078936e+00
1.86567164e-01  1.9895843e+00
1.86570645e-01  2.6465302e+00
1.86574126e-01  2.6289141e+00
1.86577607e-01  2.8271890e+00
1.86581088e-01  3.1933533e+00
1.86584569e-01  3.2091075e+00
1.86588051e-01  2.8465306e+00
1.86591532e-01  2.9145019e+00
1.86595014e-01  3.3316235e+00
1.86598496e-01  3.3799847e+00
1.86601978e-01  2.9679808e+00
1.86605460e-01  2.3939146e+00
1.86608942e-01  1.9234867e+00
1.86612425e-01  1.5592866e+00
1.86615907e-01  2.1221002e+00
1.86619390e-01  1.7144442e+00
1.86622872e-01  1.7353317e+00
1.86626355e-01  2.6332929e+00
1.86629838e-01  3.8667546e+00
1.86633322e-01  4.0512610e+00
1.86636805e-01  4.5404149e+00
1.86640288e-01  4.6605796e+00
1.86643772e-01  4.2447352e+00
1.86647255e-01  3.6068630e+00
1.86650739e-01  3.1966865e+00
1.86654223e-01  3.4484510e+00
1.86657707e-01  4.3833755e+00
1.86661191e-01  4.4152268e+00
1.86664676e-01  3.7811400e+00
1.86668160e-01  3.7983412e+00
1.86671645e-01  4.6050861e+00
1.86675129e-01  4.4016740e+00
1.86678614e-01  4.3766918e+00
1.86682099e-01  3.1483789e+00
1.86685584e-01  2.5645820e+00
1.86689069e-01  2.7132384e+00
1.86692555e-01  3.0704855e+00
1.86696040e-01  2.9571877e+00
1.86699526e-01  2.8097588e+00
1.86703012e-01  2.9344738e+00
1.86706497e-01  3.1481896e+00
1.86709983e-01  4.0047608e+00
1.86713470e-01  5.1545186e+00
1.86716956e-01  4.9019759e+00
1.86720442e-01  4.1201008e+00
1.86723929e-01  3.8246231e+00
1.86727415e-01  3.9112450e+00
1.86730902e-01  3.8692359e+00
1.86734389e-01  3.7112475e+00
1.86737876e-01  4.1693471e+00
1.86741363e-01  4.4058810e+00
1.86744851e-01  4.8240673e+00
1.86748338e-01  4.7607942e+00
1.86751825e-01  4.0000591e+00
1.86755313e-01  3.2051853e+00
1.86758801e-01  3.6785334e+00
1.86762289e-01  5.1399024e+00
1.86765777e-01  3.9298775e+00
1.86769265e-01  3.2375312e+00
1.86772754e-01  3.4793960e+00
1.86776242e-01  4.2286042e+00
1.86779731e-01  4.7101251e+00
1.86783219e-01  4.1618664e+00
1.86786708e-01  4.4994612e+00
1.86790197e-01  4.5015196e+00
1.86793686e-01  4.3859715e+00
1.86797176e-01  4.5897840e+00
1.86800665e-01  5.1323428e+00
1.86804155e-01  4.2125662e+00
1.86807644e-01  3.3846547e+00
1.86811134e-01  3.2423171e+00
1.86814624e-01  3.5896786e+00
1.86818114e-01  3.7462265e+00
1.86821604e-01  3.2553925e+00
1.86825094e-01  3.8832090e+00
1.86828585e-01  3.9535204e+00
1.86832075e-01  4.2947658e+00
1.86835566e-01  4.6170928e+00
1.86839057e-01  4.7249742e+00
1.86842548e-01  4.5994053e+00
1.86846039e-01  4.0259629e+00
1.86849530e-01  3.4919831e+00
1.86853021e-01  3.8945007e+00
1.86856513e-01  4.3687633e+00
1.86860004e-01  4.0397076e+00
1.86863496e-01  2.8644220e+00
1.86866988e-01  3.4548652e+00
1.86870480e-01  3.9399238e+00
1.86873972e-01  3.3874468e+00
1.86877464e-01  3.3243800e+00
1.86880957e-01  3.5698107e+00
1.86884449e-01  3.4967860e+00
1.86887942e-01  4.7713591e+00
1.86891435e-01  5.4388137e+00
1.86894928e-01  4.8792194e+00
1.86898421e-01  4.4952482e+00
1.86901914e-01  4.2948024e+00
1.86905407e-01  3.8371211e+00
1.86908901e-01  3.6443925e+00
1.86912394e-01  4.1966230e+00
1.86915888e-01  4.1477626e+00
1.86919382e-01  4.3475550e+00
1.86922876e-01  4.6304583e+00
1.86926370e-01  4.2239755e+00
1.86929864e-01  2.4408212e+00
1.86933358e-01  1.9628971e+00
1.86936853e-01  3.3808161e+00
1.86940347e-01  4.8210362e+00
1.86943842e-01  5.5589707e+00
1.86947337e-01  5.4922542e+00
1.86950832e-01  4.8586696e+00
1.86954327e-01  3.7561352e+00
1.86957822e-01  3.5587653e+00
1.86961318e-01  4.0098274e+00
1.86964813e-01  4.5662109e+00
1.86968309e-01  4.8843724e+00
1.86971805e-01  5.0240465e+00
1.86975301e-01  3.1741876e+00
1.86978797e-01  3.3606870e+00
1.86982293e-01  4.1223531e+00
1.86985789e-01  4.1183129e+00
1.86989286e-01  3.4311388e+00
1.86992782e-01  3.5439728e+00
1.86996279e-01  5.1513465e+00
1.86999776e-01  5.2713306e+00
1.87003273e-01  4.7716670e+00
1.87006770e-01  3.6228997e+00
1.87010267e-01  3.0457862e+00
1.87013764e-01  4.5922178e+00
1.87017262e-01  4.4420207e+00
1.87020759e-01  3.8218910e+00
1.87024257e-01  4.4367909e+00
1.87027755e-01  4.9096438e+00
1.87031253e-01  4.4650224e+00
1.87034751e-01  3.2740924e+00
1.87038249e-01  2.2184122e+00
1.87041748e-01  1.9620792e+00
1.87045246e-01  3.4192014e+00
1.87048745e-01  4.1877170e+00
1.87052244e-01  4.1537595e+00
1.87055743e-01  4.2270074e+00
1.87059242e-01  3.0460696e+00
1.87062741e-01  3.3827489e+00
1.87066240e-01  4.1904278e+00
1.87069740e-01  4.8418712e+00
1.87073239e-01  5.0752190e+00
1.87076739e-01  4.7503682e+00
1.87080239e-01  3.5094448e+00
1.87083739e-01  3.7198841e+00
1.87087239e-01  4.4945388e+00
1.87090739e-01  4.2580113e+00
1.87094239e-01  3.5407573e+00
1.87097740e-01  3.1585122e+00
1.87101240e-01  2.7904904e+00
1.87104741e-01  3.4352047e+00
1.87108242e-01  4.1384159e+00
1.87111743e-01  3.7779644e+00
1.87115244e-01  3.7469749e+00
1.87118746e-01  4.6895225e+00
