# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.199999986E-02
#         sza               vza              vaa               theta              I_dw              dI_dw
      60.000000000     141.000000000      90.000000000      67.134264804       0.027406895       0.000000000
      60.000000000     141.000000000     180.000000000      99.000000000       0.025610314       0.000000000
      60.000000000     142.000000000       0.000000000      22.000000000       0.037739728       0.000000000
      60.000000000     142.000000000      90.000000000      66.796043611       0.027143391       0.000000000
      60.000000000     142.000000000     180.000000000      98.000000000       0.025222293       0.000000000
      60.000000000     143.000000000       0.000000000      23.000000000       0.037128273       0.000000000
      60.000000000     143.000000000      90.000000000      66.464465022       0.026891544       0.000000000
      60.000000000     143.000000000     180.000000000      97.000000000       0.024857339       0.000000000
      60.000000000     144.000000000       0.000000000      24.000000000       0.036532231       0.000000000
      60.000000000     144.000000000      90.000000000      66.139669285       0.026650872       0.000000000
      60.000000000     144.000000000     180.000000000      96.000000000       0.024514691       0.000000000
      60.000000000     145.000000000       0.000000000      25.000000000       0.035951114       0.000000000
      60.000000000     145.000000000      90.000000000      65.821796040       0.026420923       0.000000000
      60.000000000     145.000000000     180.000000000      95.000000000       0.024193629       0.000000000
      60.000000000     146.000000000       0.000000000      26.000000000       0.035384469       0.000000000
      60.000000000     146.000000000      90.000000000      65.510984179       0.026201268       0.000000000
      60.000000000     146.000000000     180.000000000      94.000000000       0.023893475       0.000000000
      60.000000000     147.000000000       0.000000000      27.000000000       0.034831873       0.000000000
      60.000000000     147.000000000      90.000000000      65.207371697       0.025991508       0.000000000
      60.000000000     147.000000000     180.000000000      93.000000000       0.023613585       0.000000000
      60.000000000     148.000000000       0.000000000      28.000000000       0.034292936       0.000000000
      60.000000000     148.000000000      90.000000000      64.911095538       0.025791266       0.000000000
      60.000000000     148.000000000     180.000000000      92.000000000       0.023353356       0.000000000
      60.000000000     149.000000000       0.000000000      29.000000000       0.033767295       0.000000000
      60.000000000     149.000000000      90.000000000      64.622291431       0.025600188       0.000000000
      60.000000000     149.000000000     180.000000000      91.000000000       0.023112214       0.000000000
      60.000000000     150.000000000       0.000000000      30.000000000       0.033254616       0.000000000
      60.000000000     150.000000000      90.000000000      64.341093727       0.025417940       0.000000000
      60.000000000     150.000000000     180.000000000      90.000000000       0.022889616       0.000000000
      60.000000000     151.000000000       0.000000000      31.000000000       0.032754588       0.000000000
      60.000000000     151.000000000      90.000000000      64.067635224       0.025244210       0.000000000
      60.000000000     151.000000000     180.000000000      89.000000000       0.022685049       0.000000000
      60.000000000     152.000000000       0.000000000      32.000000000       0.032266924       0.000000000
      60.000000000     152.000000000      90.000000000      63.802046989       0.025078701       0.000000000
      60.000000000     152.000000000     180.000000000      88.000000000       0.022498027       0.000000000
      60.000000000     153.000000000       0.000000000      33.000000000       0.031791362       0.000000000
      60.000000000     153.000000000      90.000000000      63.544458176       0.024921139       0.000000000
      60.000000000     153.000000000     180.000000000      87.000000000       0.022328088       0.000000000
      60.000000000     154.000000000       0.000000000      34.000000000       0.031327657       0.000000000
      60.000000000     154.000000000      90.000000000      63.294995839       0.024771262       0.000000000
      60.000000000     154.000000000     180.000000000      86.000000000       0.022174797       0.000000000
      60.000000000     155.000000000       0.000000000      35.000000000       0.030875589       0.000000000
      60.000000000     155.000000000      90.000000000      63.053784737       0.024628825       0.000000000
      60.000000000     155.000000000     180.000000000      85.000000000       0.022037738       0.000000000
      60.000000000     156.000000000       0.000000000      36.000000000       0.030434952       0.000000000
      60.000000000     156.000000000      90.000000000      62.820947148       0.024493599       0.000000000
      60.000000000     156.000000000     180.000000000      84.000000000       0.021916517       0.000000000
      60.000000000     157.000000000       0.000000000      37.000000000       0.030005562       0.000000000
      60.000000000     157.000000000      90.000000000      62.596602664       0.024365367       0.000000000
      60.000000000     157.000000000     180.000000000      83.000000000       0.021810762       0.000000000
      60.000000000     158.000000000       0.000000000      38.000000000       0.029587249       0.000000000
      60.000000000     158.000000000      90.000000000      62.380867994       0.024243929       0.000000000
      60.000000000     158.000000000     180.000000000      82.000000000       0.021720117       0.000000000
      60.000000000     159.000000000       0.000000000      39.000000000       0.029179861       0.000000000
      60.000000000     159.000000000      90.000000000      62.173856767       0.024129093       0.000000000
      60.000000000     159.000000000     180.000000000      81.000000000       0.021644245       0.000000000
      60.000000000     160.000000000       0.000000000      40.000000000       0.028783260       0.000000000
      60.000000000     160.000000000      90.000000000      61.975679326       0.024020682       0.000000000
