#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown 
# Used material is:
 unknown 
# Number of phase matrix elements : 
 4 
# number of wavelengths 
   186
#  lambda         nteta          Cext               SSA                g 
 2.1600000e+00      133       8.0390944e+01          9.6441494e-01          -32768.0 
 2.1700000e+00      132       8.0409186e+01          9.6531076e-01          -32768.0 
 2.1800000e+00      134       8.0427386e+01          9.6606002e-01          -32768.0 
 2.1900000e+00      133       8.0445600e+01          9.6652116e-01          -32768.0 
 2.2000000e+00      134       8.0463939e+01          9.6676399e-01          -32768.0 
# Phase matrix 
# lambda =   0.350 
#         u                 F11              F44               F21               F34  
-1.0000000e+00     6.0683435e-01  0.0  0.0  0.0 
-9.9999848e-01     5.0371420e-01  0.0  0.0  0.0 
-9.9999743e-01     4.5392931e-01  0.0  0.0  0.0 
-9.9999610e-01     4.1032666e-01  0.0  0.0  0.0 
-9.9999507e-01     3.8802597e-01  0.0  0.0  0.0 
-9.9999391e-01     3.7261921e-01  0.0  0.0  0.0 
-9.9999194e-01     3.6340055e-01  0.0  0.0  0.0 
-9.9999048e-01     3.6613491e-01  0.0  0.0  0.0 
-9.9998629e-01     3.9693242e-01  0.0  0.0  0.0 
-9.9998026e-01     4.5369384e-01  0.0  0.0  0.0 
-9.9997563e-01     4.8674625e-01  0.0  0.0  0.0 
-9.9996916e-01     5.1101226e-01  0.0  0.0  0.0 
-9.9996192e-01     5.1322144e-01  0.0  0.0  0.0 
-9.9995393e-01     4.9663109e-01  0.0  0.0  0.0 
-9.9994517e-01     4.6770474e-01  0.0  0.0  0.0 
-9.9992537e-01     3.9766049e-01  0.0  0.0  0.0 
-9.9990252e-01     3.3554190e-01  0.0  0.0  0.0 
-9.9987663e-01     2.8932631e-01  0.0  0.0  0.0 
-9.9984770e-01     2.5645116e-01  0.0  0.0  0.0 
-9.9981571e-01     2.3293805e-01  0.0  0.0  0.0 
-9.9978068e-01     2.1577762e-01  0.0  0.0  0.0 
-9.9974261e-01     2.0279372e-01  0.0  0.0  0.0 
-9.9965732e-01     1.8334372e-01  0.0  0.0  0.0 
-9.9955986e-01     1.6895615e-01  0.0  0.0  0.0 
-9.9939083e-01     1.5300407e-01  0.0  0.0  0.0 
-9.9919439e-01     1.4163984e-01  0.0  0.0  0.0 
-9.9904822e-01     1.3570786e-01  0.0  0.0  0.0 
-9.9862953e-01     1.2468524e-01  0.0  0.0  0.0 
-9.9813480e-01     1.1748547e-01  0.0  0.0  0.0 
-9.9756405e-01     1.1213809e-01  0.0  0.0  0.0 
-9.9619470e-01     1.0559238e-01  0.0  0.0  0.0 
-9.9452190e-01     1.0218772e-01  0.0  0.0  0.0 
-9.9254615e-01     1.0074656e-01  0.0  0.0  0.0 
-9.8768834e-01     1.0077701e-01  0.0  0.0  0.0 
-9.7814760e-01     1.0576438e-01  0.0  0.0  0.0 
-9.3969262e-01     1.3437565e-01  0.0  0.0  0.0 
-8.8294759e-01     1.8268473e-01  0.0  0.0  0.0 
-8.5716730e-01     2.1065941e-01  0.0  0.0  0.0 
-8.4804810e-01     2.2542173e-01  0.0  0.0  0.0 
-8.4245234e-01     2.3286875e-01  0.0  0.0  0.0 
-8.3867057e-01     2.3365071e-01  0.0  0.0  0.0 
-8.3484792e-01     2.2809310e-01  0.0  0.0  0.0 
-8.2903757e-01     2.1205106e-01  0.0  0.0  0.0 
-8.2609826e-01     2.0824344e-01  0.0  0.0  0.0 
-8.2412619e-01     2.1121810e-01  0.0  0.0  0.0 
-8.2214407e-01     2.2075889e-01  0.0  0.0  0.0 
-8.2114918e-01     2.2854018e-01  0.0  0.0  0.0 
-8.1915204e-01     2.5076196e-01  0.0  0.0  0.0 
-8.1613756e-01     2.9969534e-01  0.0  0.0  0.0 
-8.0901699e-01     4.5576537e-01  0.0  0.0  0.0 
-8.0592825e-01     5.1342750e-01  0.0  0.0  0.0 
-8.0385686e-01     5.4055244e-01  0.0  0.0  0.0 
-8.0073134e-01     5.5923384e-01  0.0  0.0  0.0 
-7.9863551e-01     5.5575067e-01  0.0  0.0  0.0 
-7.9652995e-01     5.4093969e-01  0.0  0.0  0.0 
-7.9335334e-01     5.0024188e-01  0.0  0.0  0.0 
-7.8801075e-01     4.0175566e-01  0.0  0.0  0.0 
-7.8152041e-01     2.7480355e-01  0.0  0.0  0.0 
-7.7714596e-01     2.0273267e-01  0.0  0.0  0.0 
-7.7384018e-01     1.5840875e-01  0.0  0.0  0.0 
-7.7051317e-01     1.2273151e-01  0.0  0.0  0.0 
-7.6828349e-01     1.0323940e-01  0.0  0.0  0.0 
-7.6604444e-01     8.6823173e-02  0.0  0.0  0.0 
-7.6266830e-01     6.7314699e-02  0.0  0.0  0.0 
-7.5927124e-01     5.2820466e-02  0.0  0.0  0.0 
-7.5699502e-01     4.5228850e-02  0.0  0.0  0.0 
-7.5470958e-01     3.9167874e-02  0.0  0.0  0.0 
-7.5126410e-01     3.2176103e-02  0.0  0.0  0.0 
-7.4895572e-01     2.8663030e-02  0.0  0.0  0.0 
-7.4663822e-01     2.5785083e-02  0.0  0.0  0.0 
-7.4314483e-01     2.2663847e-02  0.0  0.0  0.0 
-7.3845541e-01     1.9719295e-02  0.0  0.0  0.0 
-7.3491463e-01     1.8293519e-02  0.0  0.0  0.0 
-7.3135370e-01     1.7226990e-02  0.0  0.0  0.0 
-7.2657474e-01     1.6327413e-02  0.0  0.0  0.0 
-7.1933980e-01     1.5474866e-02  0.0  0.0  0.0 
-7.0710678e-01     1.4964584e-02  0.0  0.0  0.0 
-6.8199836e-01     1.4709756e-02  0.0  0.0  0.0 
-6.5605903e-01     1.4958292e-02  0.0  0.0  0.0 
-6.2932039e-01     1.5775237e-02  0.0  0.0  0.0 
-6.1566148e-01     1.6668860e-02  0.0  0.0  0.0 
-6.0181502e-01     1.8246017e-02  0.0  0.0  0.0 
-5.9482279e-01     1.9416414e-02  0.0  0.0  0.0 
-5.8778525e-01     2.0992137e-02  0.0  0.0  0.0 
-5.8212295e-01     2.2512669e-02  0.0  0.0  0.0 
-5.7357644e-01     2.5491670e-02  0.0  0.0  0.0 
-5.6640624e-01     2.8628206e-02  0.0  0.0  0.0 
-5.5919290e-01     3.2494802e-02  0.0  0.0  0.0 
-5.4463904e-01     4.2191248e-02  0.0  0.0  0.0 
-5.2991926e-01     5.3621929e-02  0.0  0.0  0.0 
-5.1503807e-01     6.3735403e-02  0.0  0.0  0.0 
-5.0753836e-01     6.6902980e-02  0.0  0.0  0.0 
-5.0000000e-01     6.8066232e-02  0.0  0.0  0.0 
-4.9242356e-01     6.6937834e-02  0.0  0.0  0.0 
-4.8480962e-01     6.3471161e-02  0.0  0.0  0.0 
-4.7869183e-01     5.9311677e-02  0.0  0.0  0.0 
-4.6947156e-01     5.1491950e-02  0.0  0.0  0.0 
-4.5399050e-01     3.8650729e-02  0.0  0.0  0.0 
-4.4619781e-01     3.3882525e-02  0.0  0.0  0.0 
-4.3837115e-01     3.0752772e-02  0.0  0.0  0.0 
-4.3208572e-01     2.9228443e-02  0.0  0.0  0.0 
