#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           1
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00    901     0.859542345E+03     0.999999468E+00    -0.327680000E+05
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.717220202E+00     0.975439397E-01     0.147990698E-01    -0.537917643E-01     0.635293814E-01
    -0.714782027E+00     0.907631629E-01     0.124895948E-01    -0.489183028E-01     0.593281290E-01
    -0.712335134E+00     0.845287453E-01     0.103901397E-01    -0.445261073E-01     0.553672587E-01
    -0.709879551E+00     0.788232893E-01     0.849597631E-02    -0.405910929E-01     0.516505212E-01
    -0.707415310E+00     0.736257933E-01     0.679521925E-02    -0.370883183E-01     0.481810142E-01
    -0.704942438E+00     0.689116070E-01     0.526929587E-02    -0.339859319E-01     0.449635837E-01
    -0.702460968E+00     0.646531273E-01     0.389871890E-02    -0.312459860E-01     0.420001694E-01
    -0.699970929E+00     0.608218560E-01     0.266975363E-02    -0.288322513E-01     0.392847504E-01
    -0.697472352E+00     0.573908177E-01     0.157696524E-02    -0.267170326E-01     0.368045928E-01
    -0.694965267E+00     0.543353771E-01     0.619897112E-03    -0.248806739E-01     0.345466806E-01
    -0.692449704E+00     0.516318451E-01    -0.203582618E-03    -0.233053902E-01     0.325025418E-01
    -0.689925695E+00     0.492554936E-01    -0.902420290E-03    -0.219695889E-01     0.306670646E-01
    -0.687393270E+00     0.471802639E-01    -0.149219135E-02    -0.208470802E-01     0.290333967E-01
    -0.684852459E+00     0.453808155E-01    -0.198948850E-02    -0.199113536E-01     0.275894391E-01
    -0.682303295E+00     0.438351739E-01    -0.240497747E-02    -0.191414706E-01     0.263191367E-01
    -0.679745808E+00     0.425253716E-01    -0.274084868E-02    -0.185243843E-01     0.252068695E-01
    -0.677180029E+00     0.414351217E-01    -0.299529305E-02    -0.180507825E-01     0.242405711E-01
    -0.674605990E+00     0.405464297E-01    -0.317038120E-02    -0.177079177E-01     0.234109013E-01
    -0.672023722E+00     0.398386220E-01    -0.327590905E-02    -0.174772580E-01     0.227079821E-01
    -0.669433257E+00     0.392914629E-01    -0.332504033E-02    -0.173405112E-01     0.221196451E-01
    -0.666834625E+00     0.388895902E-01    -0.332576341E-02    -0.172877273E-01     0.216331651E-01
    -0.664227859E+00     0.386231475E-01    -0.327695385E-02    -0.173176222E-01     0.212382877E-01
    -0.661612991E+00     0.384831863E-01    -0.317336854E-02    -0.174287716E-01     0.209278502E-01
    -0.658990052E+00     0.384567850E-01    -0.301440617E-02    -0.176113415E-01     0.206951708E-01
    -0.656359075E+00     0.385277112E-01    -0.280744544E-02    -0.178487250E-01     0.205312537E-01
    -0.653720092E+00     0.386818443E-01    -0.256273610E-02    -0.181269415E-01     0.204251594E-01
    -0.651073134E+00     0.389108176E-01    -0.228603227E-02    -0.184411923E-01     0.203671366E-01
    -0.648418234E+00     0.392102071E-01    -0.197667282E-02    -0.187933758E-01     0.203508999E-01
    -0.645755425E+00     0.395755709E-01    -0.163166803E-02    -0.191848610E-01     0.203726747E-01
    -0.643084738E+00     0.400005760E-01    -0.125024470E-02    -0.196121591E-01     0.204282217E-01
    -0.640406207E+00     0.404766891E-01    -0.834948948E-03    -0.200674957E-01     0.205106280E-01
    -0.637719864E+00     0.409928465E-01    -0.390250796E-03    -0.205414741E-01     0.206107303E-01
    -0.635025743E+00     0.415372146E-01     0.793146347E-04    -0.210262185E-01     0.207202679E-01
    -0.632323875E+00     0.421025416E-01     0.571118553E-03    -0.215187573E-01     0.208355001E-01
    -0.629614293E+00     0.426899929E-01     0.108589703E-02    -0.220219078E-01     0.209573961E-01
    -0.626897032E+00     0.433046503E-01     0.162650475E-02    -0.225394396E-01     0.210868230E-01
