#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           4
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00   2800     0.697526463E+02     0.999999795E+00     0.841898766E+00
     0.190493500E+01   2800     0.799866099E+02     0.968812977E+00     0.797054568E+00
     0.194193100E+01   2800     0.804542378E+02     0.959473806E+00     0.800221082E+00
     0.198039200E+01   2800     0.809846184E+02     0.969110234E+00     0.799412927E+00
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.992828070E+00     0.281137580E+00     0.123537201E+00     0.762567416E-01     0.460957011E-01
    -0.992693237E+00     0.278577714E+00     0.121842955E+00     0.758108261E-01     0.457112426E-01
    -0.992557153E+00     0.276111654E+00     0.120169396E+00     0.753970128E-01     0.453471290E-01
    -0.992419818E+00     0.273738699E+00     0.118510957E+00     0.750133193E-01     0.450063217E-01
    -0.992281232E+00     0.271457839E+00     0.116862571E+00     0.746574622E-01     0.446916282E-01
    -0.992141396E+00     0.269267743E+00     0.115219776E+00     0.743268794E-01     0.444056471E-01
    -0.992000309E+00     0.267166739E+00     0.113578800E+00     0.740187575E-01     0.441507116E-01
    -0.991857973E+00     0.265152811E+00     0.111936640E+00     0.737300629E-01     0.439288366E-01
    -0.991714386E+00     0.263223595E+00     0.110291124E+00     0.734575789E-01     0.437416684E-01
    -0.991569550E+00     0.261376384E+00     0.108640958E+00     0.731979462E-01     0.435904411E-01
    -0.991423464E+00     0.259608144E+00     0.106985751E+00     0.729477080E-01     0.434759385E-01
    -0.991276128E+00     0.257915531E+00     0.105326019E+00     0.727033596E-01     0.433984655E-01
    -0.991127543E+00     0.256294921E+00     0.103663175E+00     0.724613999E-01     0.433578274E-01
    -0.990977710E+00     0.254742440E+00     0.101999485E+00     0.722183853E-01     0.433533209E-01
    -0.990826627E+00     0.253254004E+00     0.100338015E+00     0.719709854E-01     0.433837345E-01
    -0.990674296E+00     0.251825364E+00     0.986825486E-01     0.717160368E-01     0.434473605E-01
    -0.990520716E+00     0.250452152E+00     0.970374911E-01     0.714505964E-01     0.435420171E-01
    -0.990365888E+00     0.249129929E+00     0.954077537E-01     0.711719906E-01     0.436650819E-01
    -0.990209812E+00     0.247854238E+00     0.937986261E-01     0.708778604E-01     0.438135339E-01
    -0.990052488E+00     0.246620654E+00     0.922156382E-01     0.705661998E-01     0.439840049E-01
    -0.989893917E+00     0.245424834E+00     0.906644153E-01     0.702353871E-01     0.441728381E-01
    -0.989734097E+00     0.244262562E+00     0.891505312E-01     0.698842084E-01     0.443761519E-01
    -0.989573031E+00     0.243129798E+00     0.876793635E-01     0.695118711E-01     0.445899090E-01
    -0.989410717E+00     0.242022712E+00     0.862559557E-01     0.691180079E-01     0.448099865E-01
    -0.989247157E+00     0.240937726E+00     0.848848894E-01     0.687026721E-01     0.450322478E-01
    -0.989082350E+00     0.239871538E+00     0.835701706E-01     0.682663213E-01     0.452526122E-01
    -0.988916296E+00     0.238821146E+00     0.823151346E-01     0.678097939E-01     0.454671222E-01
    -0.988748997E+00     0.237783867E+00     0.811223701E-01     0.673342756E-01     0.456720053E-01
    -0.988580451E+00     0.236757347E+00     0.799936657E-01     0.668412594E-01     0.458637308E-01
    -0.988410659E+00     0.235739558E+00     0.789299791E-01     0.663324989E-01     0.460390584E-01
    -0.988239622E+00     0.234728799E+00     0.779314302E-01     0.658099575E-01     0.461950791E-01
    -0.988067339E+00     0.233723686E+00     0.769973162E-01     0.652757539E-01     0.463292474E-01
    -0.987893811E+00     0.232723128E+00     0.761261480E-01     0.647321066E-01     0.464394042E-01
    -0.987719038E+00     0.231726310E+00     0.753157065E-01     0.641812787E-01     0.465237904E-01
    -0.987543020E+00     0.230732667E+00     0.745631144E-01     0.636255240E-01     0.465810527E-01
    -0.987365758E+00     0.229741848E+00     0.738649224E-01     0.630670372E-01     0.466102398E-01
    -0.987187252E+00     0.228753689E+00     0.732172053E-01     0.625079085E-01     0.466107921E-01
