#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.356587649E+00     0.200000522E+01     0.100000000E+01     0.100000000E+01    -0.327680000E+05
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.974052780E+00     0.575019952E+00     0.192147726E+00    -0.197273012E+00     0.184524892E+00    -0.548585960E-01    -0.998166921E-01
    -0.973677030E+00     0.575329832E+00     0.192135104E+00    -0.197393207E+00     0.184736323E+00    -0.555096373E-01    -0.101006516E+00
    -0.973298620E+00     0.575633082E+00     0.192120277E+00    -0.197513373E+00     0.184943421E+00    -0.561614375E-01    -0.102197908E+00
    -0.972917550E+00     0.575929555E+00     0.192103216E+00    -0.197633487E+00     0.185146093E+00    -0.568139268E-01    -0.103390746E+00
    -0.972533810E+00     0.576219116E+00     0.192083889E+00    -0.197753531E+00     0.185344251E+00    -0.574670527E-01    -0.104584938E+00
    -0.972147420E+00     0.576501606E+00     0.192062269E+00    -0.197873475E+00     0.185537792E+00    -0.581207113E-01    -0.105780296E+00
    -0.971758360E+00     0.576776895E+00     0.192038324E+00    -0.197993304E+00     0.185726636E+00    -0.587748669E-01    -0.106976760E+00
    -0.971366640E+00     0.577044832E+00     0.192012028E+00    -0.198112990E+00     0.185910685E+00    -0.594294324E-01    -0.108174174E+00
    -0.970972260E+00     0.577305276E+00     0.191983350E+00    -0.198232511E+00     0.186089849E+00    -0.600843380E-01    -0.109372414E+00
    -0.970575230E+00     0.577558077E+00     0.191952264E+00    -0.198351840E+00     0.186264031E+00    -0.607394973E-01    -0.110571327E+00
    -0.970175540E+00     0.577803099E+00     0.191918741E+00    -0.198470956E+00     0.186433148E+00    -0.613948568E-01    -0.111770819E+00
    -0.969773200E+00     0.578040197E+00     0.191882754E+00    -0.198589832E+00     0.186597104E+00    -0.620503303E-01    -0.112970736E+00
    -0.969368200E+00     0.578269235E+00     0.191844274E+00    -0.198708446E+00     0.186755816E+00    -0.627058641E-01    -0.114170983E+00
    -0.968960540E+00     0.578490074E+00     0.191803274E+00    -0.198826775E+00     0.186909193E+00    -0.633613880E-01    -0.115371436E+00
    -0.968550240E+00     0.578702562E+00     0.191759731E+00    -0.198944787E+00     0.187057141E+00    -0.640168001E-01    -0.116571914E+00
    -0.968137280E+00     0.578906573E+00     0.191713615E+00    -0.199062464E+00     0.187199580E+00    -0.646720624E-01    -0.117772350E+00
    -0.967721680E+00     0.579101959E+00     0.191664903E+00    -0.199179774E+00     0.187336415E+00    -0.653270734E-01    -0.118972563E+00
    -0.967303430E+00     0.579288587E+00     0.191613567E+00    -0.199296694E+00     0.187467564E+00    -0.659817791E-01    -0.120172458E+00
    -0.966882530E+00     0.579466321E+00     0.191559584E+00    -0.199413199E+00     0.187592941E+00    -0.666361097E-01    -0.121371912E+00
    -0.966458980E+00     0.579635026E+00     0.191502927E+00    -0.199529263E+00     0.187712462E+00    -0.672899953E-01    -0.122570801E+00
    -0.966032790E+00     0.579794562E+00     0.191443575E+00    -0.199644856E+00     0.187826038E+00    -0.679433508E-01    -0.123768973E+00
    -0.965603950E+00     0.579944800E+00     0.191381500E+00    -0.199759955E+00     0.187933588E+00    -0.685961221E-01    -0.124966334E+00
    -0.965172470E+00     0.580085602E+00     0.191316682E+00    -0.199874531E+00     0.188035028E+00    -0.692482242E-01    -0.126162733E+00
    -0.964738350E+00     0.580216837E+00     0.191249097E+00    -0.199988556E+00     0.188130274E+00    -0.698995879E-01    -0.127358046E+00
    -0.964301590E+00     0.580338374E+00     0.191178721E+00    -0.200102003E+00     0.188219245E+00    -0.705501438E-01    -0.128552152E+00
    -0.963862190E+00     0.580450081E+00     0.191105534E+00    -0.200214845E+00     0.188301860E+00    -0.711998227E-01    -0.129744928E+00
    -0.963420160E+00     0.580551827E+00     0.191029514E+00    -0.200327051E+00     0.188378038E+00    -0.718485407E-01    -0.130936224E+00
    -0.962975480E+00     0.580643488E+00     0.190950636E+00    -0.200438598E+00     0.188447701E+00    -0.724962582E-01    -0.132125972E+00
    -0.962528170E+00     0.580724933E+00     0.190868883E+00    -0.200549454E+00     0.188510769E+00    -0.731428770E-01    -0.133313998E+00
    -0.962078230E+00     0.580796033E+00     0.190784235E+00    -0.200659590E+00     0.188567163E+00    -0.737883285E-01    -0.134500179E+00
    -0.961625650E+00     0.580856667E+00     0.190696668E+00    -0.200768978E+00     0.188616807E+00    -0.744325583E-01    -0.135684422E+00
    -0.961170440E+00     0.580906707E+00     0.190606166E+00    -0.200877589E+00     0.188659623E+00    -0.750754838E-01    -0.136866577E+00
    -0.960712600E+00     0.580946030E+00     0.190512709E+00    -0.200985393E+00     0.188695538E+00    -0.757170365E-01    -0.138046526E+00
    -0.960252140E+00     0.580974514E+00     0.190416280E+00    -0.201092358E+00     0.188724474E+00    -0.763571346E-01    -0.139224122E+00
    -0.959789040E+00     0.580992037E+00     0.190316857E+00    -0.201198459E+00     0.188746360E+00    -0.769957377E-01    -0.140399296E+00
    -0.959323320E+00     0.580998480E+00     0.190214426E+00    -0.201303662E+00     0.188761122E+00    -0.776327505E-01    -0.141571878E+00
    -0.958854970E+00     0.580993723E+00     0.190108968E+00    -0.201407938E+00     0.188768687E+00    -0.782681190E-01    -0.142741773E+00
    -0.958383990E+00     0.580977648E+00     0.190000465E+00    -0.201511258E+00     0.188768986E+00    -0.789017755E-01    -0.143908863E+00
    -0.957910400E+00     0.580950139E+00     0.189888906E+00    -0.201613586E+00     0.188761946E+00    -0.795336261E-01    -0.145072978E+00
    -0.957434180E+00     0.580911080E+00     0.189774271E+00    -0.201714896E+00     0.188747500E+00    -0.801636305E-01    -0.146234051E+00
    -0.956955340E+00     0.580860357E+00     0.189656546E+00    -0.201815155E+00     0.188725578E+00    -0.807917086E-01    -0.147391939E+00
    -0.956473880E+00     0.580797858E+00     0.189535716E+00    -0.201914331E+00     0.188696113E+00    -0.814177936E-01    -0.148546525E+00
    -0.955989810E+00     0.580723471E+00     0.189411770E+00    -0.202012391E+00     0.188659041E+00    -0.820418064E-01    -0.149697667E+00
    -0.955503120E+00     0.580637085E+00     0.189284692E+00    -0.202109304E+00     0.188614293E+00    -0.826636938E-01    -0.150845273E+00
    -0.955013810E+00     0.580538591E+00     0.189154467E+00    -0.202205040E+00     0.188561807E+00    -0.832833898E-01    -0.151989227E+00
    -0.954521890E+00     0.580427883E+00     0.189021087E+00    -0.202299564E+00     0.188501519E+00    -0.839008160E-01    -0.153129390E+00
    -0.954027360E+00     0.580304855E+00     0.188884538E+00    -0.202392843E+00     0.188433367E+00    -0.845159072E-01    -0.154265646E+00
    -0.953530220E+00     0.580169401E+00     0.188744810E+00    -0.202484845E+00     0.188357290E+00    -0.851285982E-01    -0.155397882E+00
    -0.953030460E+00     0.580021415E+00     0.188601887E+00    -0.202575538E+00     0.188273225E+00    -0.857388365E-01    -0.156526005E+00
    -0.952528100E+00     0.579860800E+00     0.188455766E+00    -0.202664887E+00     0.188181117E+00    -0.863465329E-01    -0.157649856E+00
    -0.952023130E+00     0.579687453E+00     0.188306433E+00    -0.202752859E+00     0.188080906E+00    -0.869516355E-01    -0.158769345E+00
    -0.951515560E+00     0.579501277E+00     0.188153882E+00    -0.202839420E+00     0.187972536E+00    -0.875540682E-01    -0.159884338E+00
    -0.951005380E+00     0.579302171E+00     0.187998101E+00    -0.202924537E+00     0.187855950E+00    -0.881537792E-01    -0.160994744E+00
    -0.950492600E+00     0.579090043E+00     0.187839085E+00    -0.203008174E+00     0.187731094E+00    -0.887506934E-01    -0.162100430E+00
    -0.949977220E+00     0.578864796E+00     0.187676826E+00    -0.203090298E+00     0.187597915E+00    -0.893447478E-01    -0.163201286E+00
    -0.949459240E+00     0.578626338E+00     0.187511317E+00    -0.203170874E+00     0.187456360E+00    -0.899358796E-01    -0.164297200E+00
