#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
          15
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      4     0.222091188E+01     0.251484533E+01     0.239497564E+01     0.205091038E+01     0.546420247E-01    -0.868747105E-01
      5     0.187266841E+01     0.200685673E+01     0.198496802E+01     0.174080904E+01    -0.226585112E-01     0.359008556E+00
      6     0.145673828E+01     0.175282529E+01     0.178759854E+01     0.144349022E+01     0.120647611E+00     0.100421402E+00
      7     0.833305638E+00     0.959433628E+00     0.856850886E+00     0.734729828E+00    -0.562897954E-01     0.434957428E+00
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.3290
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.897120078E+00     0.000000000E+00     0.000000000E+00
      1     0.200910524E+01     0.000000000E+00     0.000000000E+00     0.206942004E+01     0.000000000E+00     0.000000000E+00
      2     0.263427919E+01     0.383022990E+01     0.359190344E+01     0.253469364E+01    -0.943334447E-02    -0.126894168E+00
      3     0.222804617E+01     0.292507027E+01     0.294814764E+01     0.230141457E+01    -0.235727160E-02     0.619105356E-01
      4     0.223128610E+01     0.262213553E+01     0.247218171E+01     0.216248809E+01     0.253388202E-01    -0.115645787E+00
      5     0.190851059E+01     0.209024773E+01     0.202035134E+01     0.181315199E+01    -0.718525340E-01     0.233149202E+00
      6     0.154202831E+01     0.182306402E+01     0.182710011E+01     0.148652713E+01     0.255667171E-01    -0.246281432E-01
      7     0.844477717E+00     0.970260097E+00     0.986113246E+00     0.822046921E+00    -0.477589822E-01     0.161555713E+00
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.3668
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.860533722E+00     0.000000000E+00     0.000000000E+00
      1     0.205096876E+01     0.000000000E+00     0.000000000E+00     0.202325258E+01     0.000000000E+00     0.000000000E+00
      2     0.268323220E+01     0.379991585E+01     0.356127350E+01     0.250745996E+01    -0.531848544E-01    -0.928202523E-01
      3     0.229597650E+01     0.298225166E+01     0.296394005E+01     0.227357376E+01    -0.144654995E-01     0.420810931E-01
      4     0.221418408E+01     0.261793847E+01     0.245297340E+01     0.210673862E+01     0.355174573E-01    -0.188579454E+00
      5     0.185660801E+01     0.206265981E+01     0.194926848E+01     0.176451437E+01     0.308639696E-01     0.108859505E+00
      6     0.153769304E+01     0.183108248E+01     0.169525521E+01     0.139173133E+01     0.101378787E+00    -0.859790510E-01
      7     0.821079707E+00     0.965509759E+00     0.969056557E+00     0.846263983E+00     0.102654193E+00     0.456008747E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.4053
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.813003906E+00     0.000000000E+00     0.000000000E+00
      1     0.203945106E+01     0.000000000E+00     0.000000000E+00     0.191168219E+01     0.000000000E+00     0.000000000E+00
      2     0.265847023E+01     0.370281353E+01     0.344917819E+01     0.236777476E+01    -0.961991741E-01    -0.108763943E+00
      3     0.227478639E+01     0.289559829E+01     0.283459042E+01     0.209299949E+01    -0.333047901E-01     0.287926256E-01
      4     0.213765614E+01     0.249175268E+01     0.233447330E+01     0.194783168E+01     0.525237488E-01    -0.248712014E+00
      5     0.173560011E+01     0.194110071E+01     0.180463113E+01     0.163739352E+01     0.153945414E+00     0.396032959E-01
      6     0.145604967E+01     0.177411968E+01     0.152006978E+01     0.127763428E+01     0.238084431E+00    -0.953845924E-01
      7     0.772681091E+00     0.955619107E+00     0.876039744E+00     0.847953263E+00     0.254741272E+00     0.850329331E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.4444
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.791727884E+00     0.000000000E+00     0.000000000E+00
      1     0.200070953E+01     0.000000000E+00     0.000000000E+00     0.182932243E+01     0.000000000E+00     0.000000000E+00
      2     0.259114647E+01     0.362295977E+01     0.336118668E+01     0.224629361E+01    -0.114812443E+00    -0.158346648E+00
      3     0.220103568E+01     0.276683332E+01     0.267751322E+01     0.190697571E+01    -0.455603063E-01     0.286676280E-01
      4     0.204711242E+01     0.233752965E+01     0.221913588E+01     0.181518598E+01     0.727932428E-01    -0.247783580E+00
      5     0.161722800E+01     0.181411225E+01     0.168313865E+01     0.152239304E+01     0.231451969E+00     0.689219770E-01
      6     0.134500207E+01     0.168559740E+01     0.140837284E+01     0.121869408E+01     0.353832021E+00    -0.426759613E-01
      7     0.735207379E+00     0.949205348E+00     0.771609387E+00     0.826697025E+00     0.329972083E+00     0.245710995E+00
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.4843
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.818592022E+00     0.000000000E+00     0.000000000E+00
      1     0.196203627E+01     0.000000000E+00     0.000000000E+00     0.184768374E+01     0.000000000E+00     0.000000000E+00
      2     0.251570152E+01     0.362568670E+01     0.337300179E+01     0.224190917E+01    -0.865678476E-01    -0.207067320E+00
      3     0.210668221E+01     0.268504612E+01     0.259497603E+01     0.183800736E+01    -0.457385909E-01     0.357739326E-01
      4     0.196541514E+01     0.223176243E+01     0.216058531E+01     0.176265068E+01     0.697682401E-01    -0.188076844E+00
      5     0.153826001E+01     0.171141294E+01     0.163112402E+01     0.146289153E+01     0.183300680E+00     0.176307128E+00
      6     0.122288838E+01     0.156834449E+01     0.138880822E+01     0.118873936E+01     0.345989542E+00     0.422607178E-01
      7     0.693812940E+00     0.880647817E+00     0.689541849E+00     0.767376897E+00     0.244619906E+00     0.395125140E+00
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
