#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         184
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext (microns^2)       SSA              g 
     0.115610800E+01      8     0.495450216E+00     0.702398252E+03     0.999400377E+00     0.868525855E+00
     0.116963100E+01      8     0.481667341E+00     0.677135997E+03     0.999321543E+00     0.866282437E+00
     0.118347300E+01      8     0.465229654E+00     0.658247481E+03     0.999288348E+00     0.852051513E+00
     0.119764800E+01      8     0.453289669E+00     0.656306937E+03     0.999221933E+00     0.837638853E+00
     0.121216600E+01      8     0.437506837E+00     0.633401843E+03     0.999247831E+00     0.852543971E+00
     0.122704000E+01      8     0.422421235E+00     0.618737584E+03     0.999154817E+00     0.851445139E+00
     0.124228400E+01      8     0.429175201E+00     0.614936568E+03     0.999056903E+00     0.847222445E+00
     0.125791100E+01      8     0.434814521E+00     0.660572303E+03     0.998194581E+00     0.809282025E+00
     0.127393700E+01      8     0.451816425E+00     0.653600121E+03     0.997449363E+00     0.856750423E+00
     0.129037600E+01      8     0.464958655E+00     0.665072677E+03     0.996453275E+00     0.867224638E+00
     0.130724500E+01      8     0.486090553E+00     0.697050884E+03     0.994643804E+00     0.850764886E+00
     0.132456100E+01      8     0.494608851E+00     0.718231000E+03     0.993890992E+00     0.850159228E+00
     0.134234200E+01      8     0.505952824E+00     0.731163156E+03     0.993499675E+00     0.867969550E+00
     0.136060700E+01      8     0.505699923E+00     0.722490056E+03     0.992874178E+00     0.878661384E+00
     0.137937600E+01      8     0.497381182E+00     0.727756189E+03     0.990554291E+00     0.854671798E+00
     0.139867000E+01      8     0.491150337E+00     0.710457203E+03     0.989965994E+00     0.857148478E+00
     0.141851100E+01      8     0.476642332E+00     0.703889809E+03     0.988150144E+00     0.849962261E+00
     0.143892300E+01      8     0.454422941E+00     0.661444583E+03     0.988193798E+00     0.866538666E+00
     0.145993200E+01      8     0.430273334E+00     0.637823543E+03     0.986042392E+00     0.850640213E+00
     0.148156300E+01      8     0.420573115E+00     0.634270882E+03     0.983806106E+00     0.830179561E+00
     0.150384400E+01      8     0.411040251E+00     0.634462905E+03     0.983560280E+00     0.825123614E+00
     0.152680700E+01      8     0.406639295E+00     0.619400886E+03     0.984551959E+00     0.851123040E+00
     0.155048100E+01      8     0.416628703E+00     0.624995338E+03     0.986569403E+00     0.854040174E+00
     0.157490100E+01      8     0.440211186E+00     0.667566293E+03     0.986903794E+00     0.826628804E+00
     0.160010200E+01      8     0.465515811E+00     0.702826525E+03     0.988229872E+00     0.838155615E+00
     0.162612400E+01      8     0.484644120E+00     0.725445660E+03     0.990550500E+00     0.860182849E+00
     0.165300500E+01      8     0.497334891E+00     0.732433317E+03     0.991684137E+00     0.872847594E+00
     0.168079100E+01      8     0.503576481E+00     0.742034418E+03     0.992193524E+00     0.859725444E+00
     0.170952700E+01      8     0.502287167E+00     0.759761733E+03     0.992823650E+00     0.843394911E+00
     0.173926200E+01      8     0.486068226E+00     0.741509066E+03     0.992789800E+00     0.851684633E+00
     0.177005000E+01      8     0.469018464E+00     0.699004961E+03     0.988980757E+00     0.860681800E+00
     0.180194800E+01      8     0.444041320E+00     0.658205925E+03     0.980249337E+00     0.850525533E+00
     0.183501700E+01      8     0.424396727E+00     0.643691334E+03     0.967286190E+00     0.826767469E+00
     0.186932200E+01      8     0.406767339E+00     0.629415034E+03     0.961979835E+00     0.830184790E+00
     0.190493500E+01      8     0.394119914E+00     0.616956260E+03     0.952405285E+00     0.840179056E+00
     0.194193100E+01      8     0.407017809E+00     0.614508816E+03     0.946691715E+00     0.848293283E+00
     0.198039200E+01      8     0.427614470E+00     0.636241899E+03     0.940307133E+00     0.845463149E+00
     0.202040800E+01      8     0.465463455E+00     0.702794229E+03     0.929838413E+00     0.842044797E+00
     0.206207500E+01      8     0.497369808E+00     0.738244343E+03     0.942555508E+00     0.871865065E+00
     0.210549600E+01      8     0.515868464E+00     0.768915838E+03     0.945482135E+00     0.888193565E+00
     0.215078600E+01      8     0.516502618E+00     0.775657965E+03     0.943108877E+00     0.889924225E+00
     0.219806800E+01      8     0.504899855E+00     0.772876423E+03     0.930597537E+00     0.869452249E+00
     0.224747500E+01      8     0.460399811E+00     0.706458959E+03     0.932120730E+00     0.874495212E+00
     0.229915400E+01      8     0.408631251E+00     0.662299853E+03     0.923506196E+00     0.848316993E+00
     0.235326700E+01      8     0.367797085E+00     0.625467470E+03     0.917655993E+00     0.840985789E+00
     0.240998800E+01      8     0.342033634E+00     0.591127609E+03     0.917934724E+00     0.855210017E+00
     0.246951200E+01      8     0.367152710E+00     0.604144263E+03     0.919048379E+00     0.856072984E+00
     0.253205100E+01      8     0.656802564E+00     0.675857910E+03     0.565951269E+00     0.935468359E+00
     0.259784100E+01      8     0.782463858E+00     0.695494260E+03     0.496958001E+00     0.966988939E+00
     0.266714100E+01      8     0.784916611E+00     0.698085080E+03     0.497980409E+00     0.966467747E+00
     0.274024000E+01      8     0.776171323E+00     0.697517790E+03     0.501181772E+00     0.962681772E+00
     0.281746000E+01      8     0.765766736E+00     0.697026998E+03     0.504409859E+00     0.958121072E+00
     0.289916000E+01      8     0.754707120E+00     0.697141663E+03     0.507805045E+00     0.953024161E+00
     0.298574000E+01      8     0.743162445E+00     0.697865630E+03     0.511395850E+00     0.947425590E+00
     0.307765200E+01      8     0.739669414E+00     0.703367851E+03     0.509205710E+00     0.947871321E+00
     0.317540300E+01      8     0.733969758E+00     0.710423764E+03     0.509482675E+00     0.946124511E+00
     0.327957000E+01      8     0.728666714E+00     0.723201113E+03     0.520293451E+00     0.944219467E+00
     0.339080500E+01      8     0.601511336E+00     0.718760385E+03     0.610216703E+00     0.905518883E+00
     0.350985200E+01      8     0.353153562E+00     0.629555109E+03     0.739580950E+00     0.837019536E+00
     0.363756600E+01      8     0.319877156E+00     0.641406495E+03     0.817563898E+00     0.828938612E+00
     0.377492900E+01      8     0.396822713E+00     0.737418887E+03     0.901055994E+00     0.842584813E+00
     0.392307700E+01      8     0.480274347E+00     0.828567158E+03     0.896459723E+00     0.847576195E+00
# Betal
# lambda =      0.2513
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999774E+00     0.000000000E+00     0.000000000E+00     0.895168774E+00     0.000000000E+00     0.000000000E+00
      1     0.217741409E+01     0.000000000E+00     0.000000000E+00     0.227279772E+01     0.000000000E+00     0.000000000E+00
      2     0.289468074E+01     0.404311118E+01     0.377194314E+01     0.279290068E+01     0.272835438E-02    -0.301677351E-01
      3     0.231502459E+01     0.327297768E+01     0.331219990E+01     0.238841779E+01    -0.197163821E+00    -0.430759758E-02
      4     0.173617911E+01     0.238036882E+01     0.229228806E+01     0.177390621E+01    -0.457542813E-01    -0.466699991E-01
      5     0.122939731E+01     0.145375104E+01     0.132421215E+01     0.115806293E+01    -0.223803126E+00     0.432175663E-01
      6     0.622744466E+00     0.953182856E+00     0.993641902E+00     0.700683344E+00     0.384273178E-01     0.189338514E-01
      7     0.577007384E+00     0.476836799E+00     0.349381900E+00     0.472380411E+00    -0.789707452E-01     0.228171962E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2538
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999787E+00     0.000000000E+00     0.000000000E+00     0.891420459E+00     0.000000000E+00     0.000000000E+00
      1     0.213370685E+01     0.000000000E+00     0.000000000E+00     0.222207652E+01     0.000000000E+00     0.000000000E+00
      2     0.285417215E+01     0.399409210E+01     0.372202717E+01     0.274942419E+01     0.103669575E-02    -0.258892183E-01
      3     0.225226634E+01     0.319754847E+01     0.323173774E+01     0.232513702E+01    -0.192251344E+00     0.194492272E-01
      4     0.173255294E+01     0.235239839E+01     0.225233685E+01     0.175810713E+01    -0.387884376E-01    -0.401754681E-01
      5     0.121073348E+01     0.143372348E+01     0.131770947E+01     0.116203876E+01    -0.237460004E+00     0.213656194E-01
      6     0.633877333E+00     0.980160013E+00     0.994734044E+00     0.702333355E+00     0.277661093E-02    -0.254784413E-01
      7     0.553794107E+00     0.455715079E+00     0.326598837E+00     0.458471419E+00    -0.113521146E+00    -0.645429984E-02
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2564
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999797E+00     0.000000000E+00     0.000000000E+00     0.881599563E+00     0.000000000E+00     0.000000000E+00
      1     0.218678676E+01     0.000000000E+00     0.000000000E+00     0.225513726E+01     0.000000000E+00     0.000000000E+00
      2     0.292965663E+01     0.403422348E+01     0.375944178E+01     0.280672129E+01     0.190630667E-01    -0.124818340E-01
      3     0.238042584E+01     0.332570195E+01     0.335407881E+01     0.244667223E+01    -0.183643472E+00     0.174422399E-01
      4     0.180345595E+01     0.247030485E+01     0.235625841E+01     0.183126900E+01    -0.274510426E-01    -0.281030753E-01
      5     0.118390433E+01     0.147819159E+01     0.134660755E+01     0.115292391E+01    -0.201471402E+00    -0.295571463E-01
