#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         209
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.363756600E+01      8     0.312258599E+00     0.644559984E+03     0.860878575E+00     0.823615581E+00
     0.377492900E+01      8     0.399470927E+00     0.741563499E+03     0.908231449E+00     0.842995442E+00
     0.392307700E+01      8     0.482876524E+00     0.829341445E+03     0.904137751E+00     0.850378023E+00
# Betal
# lambda =      0.2008
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999509E+00     0.000000000E+00     0.000000000E+00     0.887334851E+00     0.000000000E+00     0.000000000E+00
      1     0.218908965E+01     0.000000000E+00     0.000000000E+00     0.228426882E+01     0.000000000E+00     0.000000000E+00
      2     0.287624327E+01     0.404959708E+01     0.375838686E+01     0.273152441E+01    -0.131504409E-01     0.343889454E-03
      3     0.219844375E+01     0.319530708E+01     0.328388640E+01     0.233355553E+01    -0.193138290E+00     0.888454888E-02
      4     0.168493409E+01     0.230361188E+01     0.212527104E+01     0.165381021E+01    -0.453824893E-01    -0.249494121E-01
      5     0.103050760E+01     0.131136319E+01     0.122489326E+01     0.991524067E+00    -0.179050190E+00    -0.124078195E-01
      6     0.574600466E+00     0.805466198E+00     0.835443106E+00     0.669332273E+00     0.136459154E+00    -0.252653933E-01
      7     0.575247607E+00     0.528158735E+00     0.327246414E+00     0.392794139E+00    -0.733027554E-01    -0.686865958E-02
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2024
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999513E+00     0.000000000E+00     0.000000000E+00     0.881117248E+00     0.000000000E+00     0.000000000E+00
      1     0.206350450E+01     0.000000000E+00     0.000000000E+00     0.215757676E+01     0.000000000E+00     0.000000000E+00
      2     0.272355294E+01     0.391857198E+01     0.362065703E+01     0.259524720E+01     0.152132987E-01    -0.128175544E-01
      3     0.196198398E+01     0.294582456E+01     0.300981411E+01     0.209209435E+01    -0.196494340E+00     0.136566229E-01
      4     0.162300495E+01     0.213754040E+01     0.194924679E+01     0.157139596E+01    -0.889214414E-01     0.107788077E-02
      5     0.867641334E+00     0.118217104E+01     0.113019672E+01     0.864731388E+00    -0.254119579E+00    -0.184293689E-02
      6     0.524421507E+00     0.729264100E+00     0.732854383E+00     0.608587224E+00     0.736118710E-01    -0.276335521E-01
      7     0.424598357E+00     0.400125478E+00     0.216865921E+00     0.277560088E+00    -0.178886497E+00     0.101337600E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2041
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999529E+00     0.000000000E+00     0.000000000E+00     0.882068754E+00     0.000000000E+00     0.000000000E+00
      1     0.217522600E+01     0.000000000E+00     0.000000000E+00     0.226181664E+01     0.000000000E+00     0.000000000E+00
      2     0.286097384E+01     0.402834206E+01     0.373640538E+01     0.272161473E+01    -0.139899532E-01    -0.193557387E-01
      3     0.219168088E+01     0.318370327E+01     0.325407209E+01     0.231660506E+01    -0.197062688E+00    -0.430302920E-02
      4     0.169216669E+01     0.230472082E+01     0.212581308E+01     0.166143501E+01    -0.438068891E-01    -0.317713586E-01
      5     0.104175744E+01     0.132299664E+01     0.122912689E+01     0.998996073E+00    -0.160012328E+00     0.274334845E-02
      6     0.575242055E+00     0.817017724E+00     0.847546162E+00     0.678065053E+00     0.150038734E+00    -0.277000187E-01
      7     0.571748628E+00     0.527342321E+00     0.330926054E+00     0.416321766E+00    -0.569594439E-01    -0.752728104E-02
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2058
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999549E+00     0.000000000E+00     0.000000000E+00     0.891276473E+00     0.000000000E+00     0.000000000E+00
      1     0.216826408E+01     0.000000000E+00     0.000000000E+00     0.226820420E+01     0.000000000E+00     0.000000000E+00
      2     0.285375812E+01     0.403246243E+01     0.374575758E+01     0.272046039E+01    -0.523250015E-02     0.711152252E-02
      3     0.216639352E+01     0.316104843E+01     0.324408170E+01     0.229581657E+01    -0.192348672E+00     0.141904183E-01
      4     0.167991919E+01     0.227727966E+01     0.211366163E+01     0.165679272E+01    -0.531251787E-01    -0.236929700E-01
      5     0.101331236E+01     0.130039760E+01     0.121907401E+01     0.978596134E+00    -0.213424969E+00    -0.235825905E-01
      6     0.562190850E+00     0.793500299E+00     0.822538197E+00     0.650122015E+00     0.986928732E-01    -0.274923987E-01
      7     0.529351608E+00     0.480182803E+00     0.298838235E+00     0.362786851E+00    -0.105312534E+00    -0.986044596E-02
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2075
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999552E+00     0.000000000E+00     0.000000000E+00     0.881581292E+00     0.000000000E+00     0.000000000E+00
      1     0.212687006E+01     0.000000000E+00     0.000000000E+00     0.221345575E+01     0.000000000E+00     0.000000000E+00
      2     0.280630399E+01     0.397892971E+01     0.368661621E+01     0.266953403E+01    -0.200186837E-01    -0.371803441E-01
      3     0.210681043E+01     0.308763608E+01     0.315122367E+01     0.221908911E+01    -0.198700308E+00    -0.541429911E-02
      4     0.167806455E+01     0.224033216E+01     0.206908605E+01     0.163913885E+01    -0.346333753E-01    -0.205126546E-01
      5     0.103312370E+01     0.130411684E+01     0.121453796E+01     0.978720365E+00    -0.172053409E+00     0.681316535E-01
      6     0.605804708E+00     0.834935958E+00     0.871402675E+00     0.698545887E+00     0.114262729E+00     0.257120366E-01
      7     0.565858919E+00     0.520971470E+00     0.343972171E+00     0.426146957E+00    -0.834218559E-01     0.492052617E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2092
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999574E+00     0.000000000E+00     0.000000000E+00     0.886330370E+00     0.000000000E+00     0.000000000E+00
      1     0.219423377E+01     0.000000000E+00     0.000000000E+00     0.228878894E+01     0.000000000E+00     0.000000000E+00
      2     0.288613139E+01     0.405501197E+01     0.376559029E+01     0.275906915E+01    -0.417624128E-02     0.814354812E-03
      3     0.224408079E+01     0.323827911E+01     0.330537935E+01     0.236740463E+01    -0.195623364E+00     0.921815013E-02
      4     0.171214014E+01     0.234224648E+01     0.217681549E+01     0.168996427E+01    -0.599269942E-01    -0.272381962E-01
      5     0.105545745E+01     0.134046908E+01     0.125513946E+01     0.102202126E+01    -0.194590749E+00    -0.242202759E-01
      6     0.550200574E+00     0.806465767E+00     0.835956397E+00     0.649121556E+00     0.116624550E+00    -0.357862557E-01
